Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,102.63351,y0,1.21,a0
5,5.0525985,rpe,-0.0189*y0,a1
7,1.6472836,-0.223*a0 - 0.223*y1,1.21,0.00819
9,1.2538537,rpe*y0,a0,a0*(0.656 - rpe)
11,1.211003,rpe*(a0 + y0),a1,a0*(0.448 - rpe)
11,1.211003,rpe*(a0 + y0),rpe,a0*(0.448 - rpe)
13,1.0606539,rpe*(a1 + y0 + y1),1.21,a0*(0.448 - rpe)
15,1.0391554,rpe*(-a1 + y0 + 2*y1),a0,a0*(0.448 - rpe)
17,0.99450177,rpe*(-a1 + y0 + 2*y1),a0 + rpe,a0*(0.534 - rpe)
19,0.9917537,rpe*(-a1 + y0 + 2*y1),2*a0 + rpe,a0*(0.448 - rpe)
21,0.89958954,2.16,(2*rpe - 0.628)*(a1*y1**2 + y1),-3.48*a1*(rpe - 1.15)
21,0.89958954,y1,(2*rpe - 0.628)*(a1*y1**2 + y1),-3.48*a1*(rpe - 1.15)
21,0.89958954,a1,(2*rpe - 0.628)*(a1*y1**2 + y1),-3.48*a1*(rpe - 1.15)
27,0.8891958,-a0 + a1*y0*y1,(2*rpe - 0.628)*(a1*y1**2 + y1),-3.28*a1*(rpe - 1.15)
29,0.883415,-0.0919,(2*rpe - 0.628)*(a1*y1**2 + y1),a1*(1.14*a0 - 2.3)*(rpe - 1.15)
33,0.8706174,-0.0919*y0*y1**2,(2*rpe - 0.628)*(a1*y1**2 + y1),a1*(a0 - 2.46)*(rpe - 1.15)
35,0.86492634,-0.184*rpe*y1**2,(2*rpe - 0.628)*(a1*y1 + 2*y1),a1*(2*a0 - 2.3)*(rpe - 1.15)
37,0.8531683,2*a0 - 0.0919*rpe + 3*y1,2*y1*(2*rpe - 0.628),a1*(rpe - 1.15)*(a0**2*(a0 - 0.291) - 1.15)
39,0.8433721,-0.0919*rpe*y1*(a0 + y0 - 0.0919),(2*rpe - 0.628)*(a1*y1**2 + y1),a1*(rpe - 1.15)*(a0**2 + a0 - 2.3)
41,0.81912684,-0.0919*rpe*y1*(-0.0919*rpe + y1),(2*rpe - 0.628)*(a1*y1**2 + 2*y1),a1*(rpe - 1.15)*(a0**2 + a0 - 2.3)
45,0.8168355,-0.0919*rpe*y1*(0.908*a0 - 0.0919*rpe + y1),(2*rpe - 0.628)*(a1*y1**2 + 2*y1),a1*(rpe - 1.15)*(a0**2 + a0 - 2.3)
