Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,2.4949152,a0 - 0.609,a0,-0.00608
7,1.7787111,rpe,2*y0,-a1 + rpe
9,1.7117743,y0,y1,-0.452*a0 - 0.452*a1 + rpe
13,1.5242196,-0.595,a0*y1 + y1*(a0 + rpe),2*a1
15,1.2858865,-0.595,y1*(a0 + rpe),a1*rpe + 3*a1
19,1.1413337,-0.595,a0*y1 + y1*(a0 + rpe),a1*rpe + 3*a1
21,1.0754972,-0.595,a0*y1 + y1*(a0 + rpe + y0),a1*rpe + 3*a1
27,1.0670382,-a0 - 1.29,rpe*y0 + y1*(3*a0 + rpe),a1*rpe + 3*a1
31,1.0545474,a1 - rpe*y1 - 1.29,rpe*y0 + y1*(3*a0 + rpe),a1*rpe + 3*a1
37,1.0531058,-a0 - a1 + rpe - 1.5,rpe*y0 + y1*(3*a0 + rpe) + y1,a1*rpe + 3*a1
37,1.0531058,-a0 - a1 + rpe - 1.5,rpe*y0 + y1*(3*a0 + rpe) + y1,a1*rpe + 3*a1
43,1.0519791,y1*(a0 + a1 + rpe + 2*y0 - 0.863),a1*y1 - 0.671*a1 - 0.671*y0 - 1.67*y1,3*a0 + 3*a1 + 2*rpe
45,1.026046,y1*(3*a0 + a1 + rpe + 2*y0),-1.67*a1 + 2*y0*y1 - 1.67*y0 - 1.67*y1,3*a0 + 3*a1 + 2*rpe
