Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
7,5.8250813,a1**2,a1,a1,y0,y0
13,1.3403361,a1*rpe*y0,a1,a0*a1,0.857*a0,rpe
15,1.1678814,a1**2*rpe*y0,1.52,a1*(a0 - 0.604),rpe,0.514
25,1.162786,a1**2*rpe*y0,1.52,a0 - 0.604,a1 + rpe + y0**2 + 2*y0 - 0.879,a0
27,1.0956008,a1**5*rpe*y0,1.52,a0 - 0.604,2*y0 - 1.76,a0*rpe
29,1.0941057,a1**6*rpe*y0,1.52,a0 - 0.604,2*y0,rpe**2*(a0 + rpe)
31,1.0583378,2*a1*(a0 + rpe + 0.613*y0),a0*rpe*y0,a0*(a1 + 0.706),1.13*a0 + 0.995,y0
35,1.0346282,a1*(a0 + rpe + 0.613*y0),2*a0*rpe*y0,a0*(a1 + 0.706),(a1 - 0.466)*(a0 + y0 - 0.754),a0 + y0
37,1.0194607,3*a1*(a0 + rpe + 0.613*y0),a0*rpe*(a1 + y0),a0*(a1 + 0.706),rpe*(a1 - 0.466),y0
39,1.0182338,2*a1*(a0 + rpe + 0.613*y0),a0*rpe*(a1 + 2*y0 + 0.0322),a0*(a1 + 0.706),(2*a0 - 1.23)*(a1 - 0.466),a0
41,0.9186033,3*a1*(a0 + rpe + 0.613*y0),a0*rpe*(a1 + y0),a0*(a1 + 0.691),(a0 + a1)*(a0 + a1 - 0.466),2*y0
43,0.8926189,3*a1*(a0 + rpe + 0.613*y0),a0*rpe*(a1 + y0),a0*(a1 + 0.706),(a1 - 0.466)*(a0 + a1 - 0.754),-a0 - 1.01
