Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,1.6622527,rpe,rpe*y0,a1,a0,0
11,1.3939867,2*y1,rpe*y0,2*a1,a0,a0
15,1.3430948,rpe + y1,rpe*(y0 + y1),2*a1,a0,0
19,1.234637,0.889*rpe,rpe*y0 - 1.06*y1,2*a1,y0 + y1,a0*y1
21,1.2202352,y1,rpe*(a1 + 3*y0 + y1),2*a1 - 0.317*rpe,a1,y0
25,1.1652634,2*y1,rpe*(a0 + a1 + 3*y0 + y1),2*a1 - 0.317*rpe,a0,y0
27,1.098902,0.96*rpe,rpe*y0 - 1.06*y1*(y0 + 1.05) - 0.785*y1,3*a1,a0*rpe,y1
31,1.0088058,0.96*rpe**2,rpe*y0 - 1.06*y1*(y0 + 1.05) - 0.785*y1,3*a1,a0*rpe,y0 + y1
33,1.0065956,rpe,rpe*y0 - 1.06*y1*(a1 + 1.05) - 0.785*y1,4*a1 + 1.29,y0,y1**2*(a0 + a1)
37,1.0035143,rpe*(0.167*rpe + 0.96),rpe*y0 - 1.84*y1,4*a1 + 1.29,y1,a0**2*y0*(a0 + a1)
39,0.99803,a1*rpe,rpe*y0 - 1.06*y1*(y0 + 1.05) - 0.785*y1,4*a1 + 1.29,y0 - y1,rpe*(a0 + a1)*(rpe + y1)
41,0.9966406,-0.966*a1 - y1 + 1.92,rpe*y0 - 1.06*y1*(y0 + 1.05) - 0.785*y1,3*a1,-0.165,a0**3*y0*(a0 + a1)
47,0.83065075,0.207*rpe,rpe*y0 - 0.8*y1*(y0 + 1.05) - 0.594*y1,a1*rpe + 6*a1,a0*y1 + y1**2 + y1,a0 + y0 + y1
