Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,0.9385035,a0,rpe,0.00516
5,0.916827,1.5*a1,rpe,0.0283
7,0.89382684,rpe,rpe,0.00516 - 0.0718*a0
11,0.8349675,-0.471,rpe*y0,-0.0718*a0 + 0.0718*a1 - 0.0718*rpe
13,0.7560073,y0,rpe*(a0 + a1 - 0.985*y0),-0.116*a1
15,0.62030315,rpe + 1.11,a1*rpe + rpe*y0,0.285*a1
17,0.6193759,y0 + 0.32,a1*rpe + 0.36*rpe*y0,0.285*a1
17,0.6193759,rpe + y0,a1*rpe + 0.36*rpe*y0,0.285*a1
17,0.6193759,a0 + rpe,a1*rpe + 0.36*rpe*y0,0.285*a1
19,0.5837765,a1 + y0,rpe*(2*a1 - 0.985*y0),-0.347*a1
19,0.5837765,a1 + rpe,rpe*(2*a1 - 0.985*y0),-0.347*a1
21,0.50577474,-1.57*a1,2*a1*rpe + 0.144*rpe*y0,0.42*a1
21,0.50577474,a0 + rpe,2*a1*rpe + 0.144*rpe*y0,0.42*a1
21,0.50577474,a1**2,2*a1*rpe + 0.144*rpe*y0,0.42*a1
23,0.4994281,-a1 + rpe,1.58*a1*rpe + 0.146*rpe*y0,0.612*a1
25,0.49768877,y0 + 1.89,1.58*a1*rpe + 0.146*rpe*y0,0.48*a0**2*a1
27,0.47814465,a0 + a1 + y0,1.58*a1*rpe + 0.36*rpe*y0,0.285*a0**2*a1 + 0.142*a1
31,0.4543996,a1*rpe*(a0 + y0) + a1 + y0,rpe*(2*a1 + y0 - 0.681),0.254*a1**2*(a0 + a1)
33,0.44100714,a1*rpe*(a0 + y0) + a1 + y0,rpe*(3*a1 + y0 - 0.681),0.254*a0*a1*(a0 + a1)
37,0.4386024,a1*rpe*(a0 + y0) + a1 + 3*y0,rpe*(3*a1 + y0 - 0.681),0.254*a0*a1*(a0 + a1)
39,0.43239832,a1*rpe*(a0 + a1 + y0) + a1 + 2*y0,rpe*(4*a1 + y0 - 0.681),0.254*a0*a1*(a0 + a1)
