Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,2.1437993,rpe,-0.117,a1 + rpe
7,1.9057359,a0*rpe,rpe*y0,a1
9,1.8682308,0,a1*rpe,a0 - rpe
9,1.8682308,a0*a1,2*y1,a0 - rpe
11,1.047682,rpe*y0 - y1,y1,3*a0
15,1.0181255,rpe*(y0 + 0.025) - y1,y0,a0*(rpe + 1.49) + a0
17,1.0165489,rpe*(0.025*a0 + y0) - y1,y0,a0*(rpe + 1.49) + a0
19,0.99735105,a0,y0*(a0 - rpe) + 2*y1,-3.54*a1 - rpe
21,0.96598864,a0,y0*(a0 - rpe*(a1 + 1.52)) + 2*y1,-2.27*a1 - rpe
23,0.95504576,a0,y0*(a0 - rpe*(a1 + 1.52)) + 2*y1,-2.54*a1 - rpe - 0.0506
25,0.95224917,a0,y0*(a0 - rpe*(a1 + 1.52)) + 2*y1,2*a1*(a1 - 2.06) - a1 - rpe
31,0.94395244,rpe*(a0**2 + a0*(a0 + y0) + y0) - y1,-1.50,a0*(0.208*a1 + rpe + 1.57) + 2*a0 + 0.208
33,0.93213034,2*a0**2*y0*y1,y0*(a0 - rpe*(a0 + a1 + 1.52)) + 2*y1,-2.54*a1 - rpe - 0.291
