Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.3030486,0.418,a1,a1
5,1.586699,0.418,rpe*y0,a1
5,1.586699,rpe*y0,0.188,a0
5,1.586699,rpe*y0,a1,a0
7,1.4367294,a1,0.0894*rpe*y0,a0
9,1.1569166,a1,0.0894*rpe*y0,a0 + a1
9,1.1569166,a1,0.0894*rpe*y0,a0 + a1
11,1.0686723,a1,0.0894*rpe*y0,a0 + a1 + 0.901
11,1.0686723,a1,0.0894*rpe*y0,a0 + a1 + 0.901
13,1.0452546,a1,0.0894*rpe*y0,a0 + 0.901*a1 + 0.619
15,1.0264363,a1,0.179*rpe*y0,0.901*a0 + 0.901*a1 + 0.619
15,1.0264363,a1,0.179*rpe*y0,0.901*a0 + 0.901*a1 + 0.619
17,0.9572655,0.418*a1 - 0.418*y0 - 0.117,0.0894*rpe*y0,a0 + a1 + 0.901
21,0.9514126,0.174*a1 - 0.174*y0 - 0.0488,rpe*(0.0894*y0 + 0.00799),a0 + a1 + 0.687
23,0.9400325,0.418*a1 - 0.418*y0 - 0.117,rpe*(0.00799*y0**2 + 0.0894*y0),a0 + a1 + 0.901
