Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,30.245981,y1,a0,a0
5,1.2766833,a0*y0,-1.02,-0.00722
7,1.2368162,-0.625,a0,-0.00977*a1
9,1.1802053,y0,a0*y0,0.0119 - 0.0229*rpe
9,1.1802053,-0.625*a0,y0,0.0119 - 0.0229*rpe
13,1.0089915,y1,rpe*y0,-0.813*a1*(2.36*rpe - 0.813)
15,0.7031629,0.415,a0*rpe*(y0 + y1),-0.813*a1*(rpe - 0.813)
17,0.6797328,0.415,a0**2*rpe*(y0 + y1),-0.813*a1*(rpe - 0.813)
19,0.6132894,0.830,a0**2*rpe*(y0 + y1),-0.813*a1*(2.36*rpe - 0.813)
23,0.5873523,0.446,a0**2*rpe*(2*y0 + 2*y1),-0.813*a1*(2.36*rpe - 0.813)
31,0.5854779,-0.0438*a1*y1 + 0.415,a0*rpe*(a0*(2*y0 + 2*y1) + y1),-0.813*a1*(2.36*rpe - 0.813)
33,0.57402396,0.0438*y1 + 0.415,a0*rpe*(a0*(2*y0 + 2*y1) + y1),-0.813*a1*(2.36*rpe - 0.813)
