Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.3535607,-0.246,rpe*y0,a1
5,1.3535607,rpe,rpe*y0,a1
5,1.3535607,rpe*y0,a1,a0
9,0.9390541,0.187,rpe*y0,2*a1 - 0.311
15,0.9377098,rpe*y0,0.648,2*a0 - 0.282*a1 - 0.164
17,0.81116927,a0 + rpe,a0*y1 + rpe*(y0 + y1),3*a1
19,0.765217,-1.35,2*a0*y1 + (rpe + y1)*(y0 + y1),2*a1
21,0.68873215,a0 - 0.478,a0*y1 + 2*rpe*(y0 + y1) - 1.99*y1,2*a1
25,0.6856952,-0.956,2*a0*y1 + 2*rpe*(y0 + y1),4*a1 + 0.164
27,0.66181606,a0 - 0.478,2*a0*y1 + 2*rpe*(y0 + y1),4*a1 + 0.134
29,0.6519325,a0 - 0.478,2*a0*y1 + 2*rpe*(y0 + y1),3*a1 + 0.133*rpe + 0.134
31,0.6499555,a0 - 0.478,2*a0*y1 + 2*rpe*(y0 + y1),4*a1 + 0.133*rpe + 0.134
33,0.64925104,a0 - 0.478,2*a0*y1 + 2*rpe*(y0 + y1),7*a1 + 0.0297
35,0.6436031,-a0*y1 + a0 - 0.478,2*a0*y1 + 2*rpe*(y0 + y1),6*a1 + 0.134
45,0.63901204,a0 + 2*a1*rpe**2*y1**2 + rpe,2*a0*y1 + 2*rpe*(y0 + y1),-a0 + 5*a1
