Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,2.0250838,a0 - a1,a0 + y0,0,a0,a0 + 0.0317
15,2.0240881,a0 - a1,0.794,-0.0155*a0 - 0.0155*a1,a1,0.521*a1
17,2.0129983,a1**2*rpe,rpe + 2*y0,0.00152*rpe,y0,y0
19,1.7567532,a1*y0,a0 - rpe - y0,0.0789*a1*rpe,y0,a1**2
21,1.6602831,-a1*rpe + y0*(rpe + y0),a0,-0.0722*a0*rpe,2*a1,rpe
29,1.6334782,a1**2*rpe*(a0 + a1 + y0),a0 + rpe + y0,-0.0389*rpe*(a0 + 2*a1 + 0.722),-0.0607,a1
31,1.6121407,a1*rpe*(a0 + y0),a1 + rpe + y0 + 0.796,-0.0779*a1*rpe*(a0 + 0.722),a1 - 0.986,a0 + rpe
35,1.5998465,a1**2*rpe*(a0 + y0 - 0.109),a0 + a1 + rpe + y0 + 0.796,-0.0389*rpe*(a0 + 3*a1 + 0.722),y0,-1.69
37,1.5866524,a1*rpe*(a0 + y0) + a1,2*a1 + rpe + 2*y0 + 0.796,-0.0779*a1*rpe*(a0 + 0.722),-1.51*y0,a0 + a1
41,1.5731143,-a1*y0*(a1**2 + y0) + y0*(rpe + y0),a0*y0 + a0,-0.0288*rpe*(1.88*a0 + 3*a1 - 0.27),-0.447,a0*rpe*y0
45,1.5726521,-a1*y0*(a1**2 + y0) + y0*(rpe + y0),a0*y0 + a0,-0.0288*rpe*(1.88*a0 + 3*a1 - 0.27),-0.447,a0*(a1*rpe + rpe*y0)
47,1.5724334,-a1*y0*(a1**2 + y0) + y0*(rpe + y0),a0*y0 + a0,-0.0288*rpe*(1.88*a0 + 3*a1 - 0.27),rpe + y0,a0*(a1*rpe + rpe*y0)
49,1.5723994,-a1*y0*(a1**2 + y0) + y0*(rpe + y0),a0*y0 + a0,-0.0288*rpe*(1.88*a0 + 3*a1 - 0.27),rpe - 0.239,a1**2*rpe**2*y0 + a1
53,1.569586,-a1*y0*(a1**2 + y0) + y0*(rpe + y0),a0*y0 + a0,-0.0288*rpe*(1.88*a0 + 3*a1 - 0.27),4*a1 + rpe - 0.239,a0**2*y0 + a1
