Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,3.3546414,y0,a1*rpe,a0
7,1.6450584,2*y0,rpe*y0,a1
9,1.40219,0.58*y1,rpe*y0,2*a1
11,1.2635338,y0,rpe*y0,3*a1 + rpe
11,1.2635338,a1,rpe*y0,3*a1 + rpe
13,1.2356182,y1,y0*(rpe + y1*(a1 - y0)),2*a1
15,1.1587353,a0,rpe*y0 + rpe - y1,3*a1 + rpe
17,1.080286,a0,rpe*y0 - y1,5*a1 + rpe
19,0.96738774,y0,rpe*y0 - 1.2*y1,a1*rpe + 4*a1
21,0.96696854,-0.999*a0,rpe*y0 - 1.19*y1,a1*rpe + 4*a1
21,0.96696854,a1*y1,rpe*y0 - 1.19*y1,a1*rpe + 4*a1
21,0.96696854,-0.999*rpe,rpe*y0 - 1.19*y1,a1*rpe + 4*a1
23,0.9525023,0.919,rpe*y0 + y1*(0.034*y1 - 1.19),a1*rpe + 4*a1
23,0.9525023,y0,rpe*y0 + y1*(0.034*y1 - 1.19),a1*rpe + 4*a1
35,0.9482201,-y0*y1 + y0 + 0.919,rpe*y0 + y1*(0.034*y1**2 - 1.19),a1*rpe + 4*a1
