Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,3.6069965,a0 + y0,a1,a0,rpe,2*y0
15,1.3937969,1.04,a1*y0,rpe**2*(a0*a1 + rpe),y0,a0
19,1.284595,rpe*y1,a0*y1 + y0,3*a0 + rpe,a0 - 0.237,1.97
21,1.09217,rpe*y1,y0**2 + y1,2*a0 + 0.484*rpe,a1 + y0,a1
23,1.0638103,rpe*(2*a0 + y0),a1*y1,2*a0 + 0.484*rpe,a0 - 0.237,a1
25,1.0322723,y1*(rpe - 1.23),a1 + rpe,3*a0 + 0.484*rpe,a0*a1,a0*y0
29,0.9986651,y1*(0.394*rpe - 1.22),a1*y1,3*a0 + a1**2 + rpe,0.423*rpe + 0.423*y1,a0 + a1
33,0.95733964,y1*(-1.01*a0 - 1.01*a1**2 + rpe),2*a1,3*a0 + 0.484*rpe,2*a0 + y1,a1
35,0.93506086,y1*(-1.01*a0 - 1.01*a1**2 + rpe),a1**2*y1 + a1,4*a0 + 0.484*rpe,y1,y1
37,0.8869641,y1*(-1.01*a0 + a1**2*(a0 - 1.38) + rpe),a1 + y0*y1,4*a0 + 0.484*rpe,2*y1,a0
41,0.88073844,y1*(a0*(-1.22*y1 - 1.22) + 0.394*rpe - 1.22),a1*y1,4*a0 + a1**2 + a1 + rpe,a0,3*a1 + y1
43,0.8756971,y1*(a0*(-1.22*a0 - 1.22) + 0.394*rpe - 1.22),a1*(y0**2 + y1),4*a0 + a1**2 + a1 + rpe,y0**2*y1,y1
47,0.8664603,y1*(-1.01*a0 + a1**2*(rpe - 1.38) + rpe),a1*y1*(rpe*y0 + y1) + a1,4*a0 + 0.484*rpe,a1*y1 + y1,a1 + y0
49,0.86639065,y1*(-1.01*a0 + a1**2*(rpe - 1.38) + rpe),a1*y1*(rpe*y0 + y1) + a1,4*a0 + 0.484*rpe,a1*y1 + y1,a1**2 + y0
