Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.371748,0.583,rpe,rpe
5,1.6547253,a1,rpe*y0,a1
5,1.6547253,rpe*y0,a1,a0
5,1.6547253,rpe*y0,rpe,a0
7,1.3909984,y0,rpe*y0,4.8*a1
9,1.3537912,rpe,2*rpe*y0,2*a1
13,1.243093,rpe,rpe*y0,0.253*a0*rpe + 2*a1
15,1.2232416,a0,rpe*y0 + 0.0638*y0,2*a1 - 0.253*rpe
15,1.2232416,a1,rpe*y0 + 0.0638*y0,2*a1 - 0.253*rpe
17,1.2171164,-0.00207,y0*(a0 + rpe) + 0.0638*y0,2*a1 - 0.253*rpe
19,1.2101938,-0.00207,y0*(a0 + rpe) + 0.0638*y0,2*a1 - 0.253*rpe - 0.0639
21,1.2014804,-0.00207,y0*(a0 + rpe) + 0.0638*y0,-0.477*a0 + 2*a1 - 0.253*rpe
23,1.2011453,-0.00207,y0*(a0 + rpe) + 0.0638*y0,-1.8*a0 + 2*a1 - 0.253*rpe
25,1.200128,-a0 + y0,rpe*y0 + 0.0638*y0 - 0.00409,-0.477*a0 + 2*a1 - 0.253*rpe
29,1.199022,-a0 + y0,rpe*y0 + 0.0597*y0 - 0.00407,-0.477*a0 + 2*a1 - 0.253*rpe
33,1.1963688,-a0 - a1*rpe + y0,1.06*rpe*y0 + 0.0638*y0 - 0.00407,-0.477*a0 + 2*a1 - 0.253*rpe
