Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.2610621,0.173,2.66,a1
5,2.2596605,1.32,a0*y0,a0
7,1.5487404,rpe,2*rpe,a1 + rpe
9,1.2557566,0.167,rpe*y0,a1*(a0 + 1.25)
11,0.990229,rpe*y0,rpe*y0,3*a1
13,0.8062304,y1,rpe*(y0 + y1 + 0.122) - y1,2*a1
13,0.8062304,rpe,rpe*(y0 + y1 + 0.122) - y1,2*a1
15,0.80135757,y0 - 0.303,rpe*(y0 + y1) - y1,2*a1 - 0.0546
17,0.7641665,-0.529*rpe,rpe*(-0.0289*rpe + y0) - 2*y1,2*a1
17,0.7641665,rpe + 0.529,rpe*(-0.0289*rpe + y0) - 2*y1,2*a1
19,0.688028,-0.303*a1*rpe - 0.303*y1,rpe*(a0 + y0) - 2*y1,a0 + a1
23,0.68445545,-0.303*a1*rpe - 0.303*y1,rpe*(a0 + y0) - 2*y1,2*a0 + 2*a1
25,0.65571475,-0.303*a1*(rpe + y1**2) - 0.303*y1,rpe*(a0 + y0) - y1,2*a0 + 2*a1
35,0.64516866,-0.303*a1*(a0*y1 + rpe) - 0.303*y1,rpe*(a0 + y0) - 2*y1,a0*a1 + 2*a0 + 2*a1
