Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,2.6505678,a1*y0,rpe,-1.67,y1**2,y1
11,2.21139,y1,rpe,-1.67*a0,y1,y0
13,2.1043773,y1,rpe,a0*(a1 - 0.26) + 0.185,y0,a0*y0
15,1.8198634,rpe**2*y0 + y1,a0,-a0**2 + rpe,a0,-0.408
17,0.9405576,rpe*y0,y1*(rpe - 3.93),a0*rpe + a0 + a1,a0,a0
25,0.93668664,rpe*y0,y1*(rpe - 3.93),a0*rpe + a0 + 2*a1 - 0.177,2*a0,a0*y1
27,0.87849283,2*a1*rpe*y0 + 2*y1,rpe,-3.34*a0 + rpe,y0,2*rpe + y1
29,0.85148156,2*a1*rpe*y0 + 2*y1,-1.47,-5.0*a0 - 2.05,a0 + rpe,y0
31,0.821967,rpe*y1 + y0*(a0 + rpe),-1.11*a0*y1,2*a0 + a1*(a0 + rpe*(a0 + a1)),0.232*a1,0.611
33,0.7615651,2*a1*rpe*y0 + 2*y1,-1.44,-5.0*a0 + rpe - 0.381,y1,y0**2 + y0
35,0.7567558,2*a1*rpe*y0 + 2*y1,rpe - 1.44,-5.0*a0 + rpe - 0.381,-0.0278*y0*y1,y0
37,0.75576186,2*a1*rpe*y0 + 2*y1,-1.08,-5.0*a0 + a1 + rpe,-1.54*(a0 - 0.204)*(a1 - 1.54),a1
39,0.73462546,2*a1*rpe*y0 + 2*y1,-1.44,-5.0*a0 + rpe - 0.538,-1.54*(a1 - 1.54)*(a1 + y0 - 0.204),a1
