Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,3.4659367,rpe,0.824*y0 + 0.195,0.473,0.134,-0.794
11,2.647674,rpe,y0,0.0699*rpe,-rpe*y0 + y0,y0
13,1.3258383,rpe,0.206*a1,0.0245,a1*rpe - 0.134,a0
15,1.2760686,a1*y0,rpe + 0.473,0.108*a0*a1,a0,rpe
17,0.92781395,y0*(-rpe - 0.72),rpe,a0*(0.0699*rpe - 0.177),a1,a1
21,0.9006596,y0*(-rpe - 0.72),2*y0,a0*(0.14*rpe - 0.182),a1,0.117
23,0.9000832,y0*(-rpe - 0.72),-0.498,a0*(0.14*rpe - 0.182),rpe*y0,rpe + 0.117
23,0.9000832,y0*(-rpe - 0.72),-0.498,a0*(0.14*rpe - 0.182),rpe*y0,2*rpe
25,0.8314762,y0*(-y0 - 1.79),a0*rpe + rpe*y0,-0.228*a1*rpe + 0.228*a1,rpe,rpe*(rpe - 0.197)
29,0.82684517,a0*y0 - 0.48*y0,a0*rpe + rpe*y0,0.228*a1 - 0.228*rpe*(a1 - 0.00824),y0,rpe - 0.338
31,0.80753386,y0*(-y0 - 1.79) - 0.48*y0,a0*rpe + rpe*y0,0.228*a1 - 0.228*rpe*(a1 - 0.00824),a1,rpe - 0.338
37,0.7870203,(-y0 - 1.79)*(2*y0 - 0.482),a0*rpe + rpe*y0,-0.228*a1*rpe + 0.228*a1,a0 - 2*y0 - 0.275,a0*a1*(a0 - y0)
39,0.7809479,(-y0 - 1.79)*(2*y0 - 0.482),a0*rpe + rpe*y0,0.228*a1 - 0.228*rpe*(a1 - 0.228),a1 + rpe - y0 + 0.3,0
