Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,0.9282509,y1,y0,0.0638*a1
9,0.869351,a0 + y0*y1,rpe,-0.0837*a0
11,0.8351798,1.20,(rpe + 3.45)*(y0 + y1),0.0638*a1
15,0.83392227,1.09*y0,(y0 + y1)*(-a1 + rpe + 1.81),0.0638*a1
15,0.83392227,1.09*y1,(y0 + y1)*(-a1 + rpe + 1.81),0.0638*a1
17,0.7984056,0.103,(y0 + y1)*(a0 + rpe + 1.81),0.142*a0 + 0.142*a1
19,0.6854428,rpe + y0 + 1.09,(rpe + 1.81)*(y0 + y1),0.0638*a1*(a0 + 2.11)
27,0.6644237,y0*(-a0 + rpe) + y0,y0,0.139*a0 + 0.0695*a1 - 0.0318
29,0.63212353,-a0*rpe + y0*(-a0 + rpe) + y0,y0,0.139*a0 + 0.0695*a1 - 0.0362
29,0.63212353,-a0*rpe + y0*(-a0 + rpe) + y0,y0,0.139*a0 + 0.0695*a1 - 0.0362
31,0.6318496,-a0*rpe + y0*(-a0 + rpe) + y0,y0,0.139*a0 + 0.0695*a1 - 0.0318
31,0.6318496,-a0*rpe + y0*(-a0 + rpe) + y0,y0,0.139*a0 + 0.0695*a1 - 0.0318
35,0.6281438,-a0*rpe + y0*(-a0 + rpe) + y0,a0 + 2*y0,0.139*a0 + 0.139*a1 - 0.0362
35,0.6281438,-a0*rpe + y0*(-a0 + rpe) + y0,a0 + 2*y0,0.139*a0 + 0.139*a1 - 0.0362
39,0.6194039,-a0*rpe + y0*(-a0 + rpe) + y0,a0 + rpe + 3*y0,0.139*a0 + 0.139*a1 - 0.0362
