Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,0.9351353,a1 + rpe,0.108,0.0179
7,0.91836375,a1,2*y0,0.0649*a1
9,0.9137139,a1,y0,0.0423*a1 + 0.0384
11,0.839471,a1,rpe*(y0 + 0.108) + y0,0.0649*a1
11,0.839471,rpe,rpe*(y0 + 0.108) + y0,0.0649*a1
13,0.74377465,rpe*y0,0.284,a0*(-0.395*rpe - 0.639) + a0
13,0.74377465,rpe*y0,a1,a0*(-0.395*rpe - 0.639) + a0
15,0.59065443,a1*rpe*y0,0.284,a0*(-0.395*rpe - 0.665) + a0
17,0.57316494,a1*rpe*(a0 + y0),0.284,a0*(-0.395*rpe - 0.639) + a0
19,0.52732277,a1*rpe*(a0 + 2*y0),0.284,a0*(-0.395*rpe - 0.639) + a0
21,0.5191169,a1*rpe*(a0 + 2*y0 + 0.519),0.284,a0*(-0.395*rpe - 0.639) + a0
23,0.517045,a1*rpe*(a0 + 2*y0)*(a1 + 0.519),0.567,a0*(-0.395*rpe - 0.639) + a0
