Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,1.3818283,rpe*y0,a1,0.291*a0*a1,a0,y0
13,0.90810174,rpe*y0,2.05,0.291*a0*a1,a1**2,y0
17,0.774173,a0 - 0.694,a0*rpe*y0,a0*a1 + a0,a0**2,rpe
19,0.7224165,rpe*(-2.09*a0*rpe + 1.04*y0),a0,a0,y0 - 0.456,1.23
21,0.70730174,rpe*(-2.09*a0*rpe + 1.04*y0),a0,3*a0,-1.89,1.23
25,0.6382475,rpe*(-1.04*a0**2 - 1.04*a0*rpe + 1.04*y0),a0,a0,rpe + y0 - 0.456,a0 + a1*y0
27,0.55410075,rpe*(-2*a0*rpe + 2*y0),-0.175,a0*(a1 - rpe) + 2*a0,y0,a0 + y0
31,0.54659784,a0*(2.01*a1 + 2*y0)*(rpe + 0.0451),-0.592*y0,a0**2 - 0.824,rpe + 1.83,a1*y0
35,0.4900234,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,a0,rpe + y0
39,0.48266727,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,a0 + y0 - 0.518,0.546*a0
43,0.48189443,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,2*a0 + rpe - 1.04,y0**2
45,0.47965753,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,3*a0 + 2*y0 - 1.04,y0**2
47,0.4761085,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,4*a0 + y0 - 1.95,a0*y0 + a0
49,0.4741518,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,a0 + 2*y0 - 1.43,a0 - 1.33*rpe - 0.794
51,0.47408807,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,3*a0 + 3*y0 - 2.87,y0**3
53,0.47369242,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,a0 + 2*y0 - 1.43,a0*y0 + a0 - 1.33*rpe + 2*y0
55,0.47184864,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,2*a0 + 3*y0 - 2.87,y0*(y0**2 + y0) + 0.192*y0
57,0.4708671,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,3*a0 + 3*y0 - 2.87,y0*(y0**2 + y0) + 0.192*y0
57,0.4708671,rpe*(-1.04*a0*rpe + 1.04*y0),-0.175,-0.915*a0**2 + a0*(a1 - rpe) + 2*a0,3*a0 + 3*y0 - 2.87,y0*(y0**2 + y0) + 0.192*y0
