Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.9594561,a1,y1,a1 + rpe
7,1.5681598,2.27,a0 - y1,rpe - 0.0112
11,1.2818819,rpe*y1,a0 - rpe + 0.26,2*a0
13,1.2277861,rpe*y0,2*a0,0.455*a0 + 0.455*rpe
15,1.1038249,a1,rpe*y1 - 2*y1,3*a1 + rpe
17,1.0174539,rpe,-a1 + rpe*y1 - y1,2.53*a1 + rpe
21,0.983455,y1,-a1*rpe + rpe*y0 - 4*y1,2.72*a1 + rpe
23,0.88718253,a1,-a1*rpe + rpe*y0 - 4*y1,3.72*a1 + rpe
25,0.8836961,-2.40,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,-2.03,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,-1.48,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,-1.48,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,-1.06,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,-0.737,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,-0.153,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,0.921,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,y0,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,y1,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,a0,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,a0,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,a1,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,a1,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
25,0.8836961,rpe,-a1*rpe + rpe*y0 - 4*y1,4*a1 + rpe
27,0.8796711,a1,-a1*rpe + rpe*y0 - 4*y1,0.674*a0 + 3*a1 + 0.674*rpe
29,0.8740405,a1 + y1,-a1*rpe + rpe*y0 - 4*y1,0.674*a0 + 3*a1 + 0.674*rpe
31,0.8602227,a1 + rpe,-a1*rpe + rpe*y0 - 4*y1,0.455*a0 + 3*a1 + 0.455*rpe
39,0.85637933,2*a1**2,-a1*rpe + rpe*y0 - 4*y1,0.674*a0 + 4*a1 + 0.674*rpe - 0.649
