Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.3140888,rpe,a1,rpe
5,1.9241407,a0,rpe*y0,a1
7,1.8006082,rpe*y0,rpe,2*a0
9,1.461143,rpe*(a1 + y0),1.37,2*a0
11,1.4389641,rpe*(a1 + y0),0.946,3*a0
15,1.4224687,-0.292*rpe,a0*(rpe*y0 - rpe),2*a0*a1
17,1.3885126,0.233*rpe,a0*(rpe*y0 - rpe),3*a0*a1
21,1.3808382,-0.292*rpe,a0*(rpe*y0 - rpe),a0*a1*(3*a0 + 0.836)
21,1.3808382,-0.292*rpe,a0*(rpe*y0 - rpe),a0*a1*(3*a0 + 0.836)
23,1.3683684,-0.292*rpe,a0*(2*rpe*y0 - 2*rpe),a0*a1*(2*a0 + 1.54)
25,1.3660119,-0.292*rpe,a0*(2*rpe*y0 - 2*rpe),4*a0**2*a1
27,1.36368,-0.292*rpe,a0*(2*rpe*y0 - 2*rpe),a0*a1*(a0**2 + 3*a0)
29,1.3494332,a1 + rpe,rpe*(0.366*a0**2 - 0.366*a1 + 0.366*y0 - 0.195),-0.194*a0*a1 + 2*a1 - 0.194*rpe - 0.194
37,1.3486853,a1*rpe + a1*(a1 + 0.671) + y0,rpe*(0.195*a0**2 - 0.195*a1 + 0.195*y0),-0.194*a0*a1 + 2*a1 - 0.194*rpe - 0.194
41,1.3471309,a1**2*(a1 + y0) + a1 + y0,rpe*(0.195*a0**2 - 0.195*a1 + 0.195*y0),-0.194*a1**2 + 2*a1 - 0.194*rpe - 0.194
