Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,2.8058949,rpe,-0.588*y0,a0*rpe,a1,-0.892
15,1.9223769,rpe,a0 - y0,a1*rpe,a0*y1 + 0.629,y1 + 0.45
17,1.6110963,rpe*y0 + rpe,0.346,3*a0,y1,rpe*(a1 + 0.892)
19,1.4989657,rpe*y0 + rpe,-0.588*y0,2*a0 + a1 + 0.00221*rpe,0.924,a0
21,1.4974064,rpe*y0 + rpe,-0.588*y0,2*a0 + a1 + 0.00221*rpe,-y1 - 0.147,a1
23,1.3015364,rpe*y0 + rpe,-0.588*y0,-0.047*a0*rpe**2 + 2*a0 + a1,a1,a0
25,1.2867737,rpe*y0 + rpe,-0.588*y0,-0.047*a0*rpe**2 + 2*a0 + a1,y1 + 0.011,a0
29,1.2824119,rpe*y0 + rpe,-0.588*y0,-0.047*a0*rpe**2 + 2*a0 + a1,(-a1 - 0.147)*(rpe - y1),a0
31,1.2798482,rpe*y0 + rpe,-0.588*y0,-0.047*a0*rpe**2 + 2*a0 + a1,0.437*rpe - 0.437*y1,a1*y0**2
33,1.2769878,rpe*y0 + rpe,-0.588*y0,-0.047*a0*rpe**2 + 2*a0 + a1,0.924*a0*a1*(-y1 - 0.147) + 0.924*y1,a0
35,1.275549,rpe*y0 + rpe,-0.588*a0**2*y0,-0.047*a0*rpe**2 + 2*a0 + a1,y0*(-a1 - 0.147),-0.892
37,1.2550464,rpe*y0 + rpe,-0.588*a0**2*y0,-0.047*a0*rpe**2 + 2*a0 + a1,a1**2*(a0**2*a1 + y1),-0.892
41,1.1910625,-1.01*rpe*y0*(2*a0 + a1 + rpe*y0),2*a0*y1 + rpe*y0,a1*rpe + 4*a1 - 0.696,y1,y0
53,1.1614803,-1.01*rpe*y0*(a1 + 2*rpe*y0),2*a0*y1 + rpe*y0,a1*(0.651*a1 + 0.651*rpe) + 3*a1 - 0.696,3*rpe - 0.377,rpe + y0 + y1
57,1.1548936,-1.01*rpe*y0*(a1 + 2*rpe*y0),2*a0*y1 + rpe*y0,a1*(0.651*a1 + 0.651*rpe) + 3*a1 - 0.696,2*rpe + y0*(2*rpe - 0.0511),rpe + y0 + y1
69,1.1512519,-1.01*rpe*y0*(2*rpe*y0 - 1.01),2*a0*y1 + rpe*y0,a1*rpe + 4*a1 - 0.696,rpe + y0*(2*a0 + a1 + rpe - 0.377) + y0,a0*a1*(a0**2 + a0*rpe + a0 + rpe)
