Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.1933722,0.115,0,1.12*rpe,y0,a0*a1
13,1.6338682,0.0526*rpe*y0,-1.09*y0,2*a0,a1,a0
17,1.2534622,-a0 + y0,a0,-a0*(a0 + rpe) + 0.558,y0,a0*rpe + 0.424
19,1.190881,-a1 + 2*y0,a1*rpe,-a0*(a0 + rpe) + 0.558,rpe + y0,0.0
21,1.0758622,(0.426*y0 - 0.914)*(y0 - 0.404),y0,rpe*(a0 - 0.425),a0 + 0.596,0.0552
23,0.98143935,rpe*y0,a0*(rpe - 0.274)*(y0 + 0.321),a0*(a1 + rpe) + a0 + 0.177,a1,rpe
25,0.87743396,0.0526*rpe*y0,a0*y0*(rpe - 0.274),a0*(a1 + rpe) + a0 + 0.177,a0**2,-1.12
31,0.85623187,-0.0153*rpe**2*y0,a0*y0*(rpe - 0.548),a0*(a1 + rpe) + a0 + 0.177,a1,rpe
33,0.83759236,0.0231*rpe**3*y0,a0*y0*(rpe - 0.548),a0*(a1 + rpe) + a0 + 0.177,a1,a0
35,0.81898856,y0*(-0.0348*rpe**2 - 0.0348*rpe),a0*(rpe - 0.548)*(y0 + 0.321),a0*(a1 + rpe) + a0 + 0.177,a1,rpe
37,0.8127949,y0*(-0.0348*rpe**2 - 0.0348*rpe),a0*(rpe - 0.548)*(y0 + 0.321),a0*(a1 + rpe) + a0 + 0.177,rpe**2,a0
41,0.8083709,-0.0348*rpe**2*y0,a0*y0*(rpe - 0.823),a0*(a1 + rpe) + a0 + 0.177,a0*y0,rpe
