Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
7,2.7104952,y0,1.54,-a0 + a1,a1,-0.471
11,2.259131,a1,1.54,a1*rpe,a1 + rpe*y0,y0
13,1.2242421,y0,1.54*rpe*y0,a1*rpe,rpe*y0,1.12
15,1.0812211,y0,1.54*rpe*y0,-a0 + a1*rpe + a1,a1,y0
19,1.0712903,y0,rpe*(a1 + y0),-2*a0 + a1*rpe + 2*a1,y0,y0
21,0.95781285,y0,rpe*(a1 + 2*y0),-2*a0 + a1*rpe + 2*a1,a1,y0
23,0.846558,a1 + y0,rpe*(a0 + y0),-2*a0 + a1*rpe + 2*a1 - 0.112,y0,-0.755
25,0.843992,a1 + y0,rpe*(a1 + 2*y0),-2*a0 + a1*rpe + 2*a1 - 0.112,0.827,0.0903
27,0.83480656,a1 + y0,rpe*(a0 + y0),-2*a0 + a1*rpe + 2*a1 - 0.112,0.438,0.178 - 0.755*y0
29,0.8343565,a1 + y0,rpe*(a0 + y0),-2*a0 + a1*rpe + 2*a1 - 0.112,0.438 - a1,0.178 - 0.755*y0
33,0.830078,-a0**2 + a1 + y0,rpe*(-0.573*a0 + a1 + 2*y0),-2*a0 + a1*rpe + 2*a1 - 0.112,0.827,0.0903
37,0.8274121,-a0**2 + a1 + y0,rpe*(a1 + 1.43*y0),-2*a0 + a1*rpe + 2*a1 - 0.112,a0 + 2*a1,0.0903
