,program,seed,process_noise,fitness
0,GP-ODE,0,0.0,-0.043312449008226395
1,GP-ODE,0,0.05,-0.0434088371694088
2,GP-ODE,0,0.1,-0.04323209822177887
3,GP-ODE,0,0.2,-0.05057341232895851
4,GP-ODE,0,0.3,-0.08529818803071976
5,GP-ODE,0,0.5,-0.16286508738994598
6,GP-ODE,1,0.0,-0.1260218322277069
7,GP-ODE,1,0.05,-0.1265895813703537
8,GP-ODE,1,0.1,-0.1299230009317398
9,GP-ODE,1,0.2,-0.11888831853866577
10,GP-ODE,1,0.3,-0.11605312675237656
11,GP-ODE,1,0.5,-0.1996956467628479
12,GP-ODE,2,0.0,-0.1005292609333992
13,GP-ODE,2,0.05,-0.09402541816234589
14,GP-ODE,2,0.1,-0.08588337898254395
15,GP-ODE,2,0.2,-0.08206632733345032
16,GP-ODE,2,0.3,-0.10762292891740799
17,GP-ODE,2,0.5,-0.14806830883026123
18,GP-ODE,3,0.0,-0.10908031463623047
19,GP-ODE,3,0.05,-0.10938713699579239
20,GP-ODE,3,0.1,-0.11756694316864014
21,GP-ODE,3,0.2,-0.12337915599346161
22,GP-ODE,3,0.3,-0.11810814589262009
23,GP-ODE,3,0.5,-0.1414119005203247
24,GP-ODE,4,0.0,-0.03770482912659645
25,GP-ODE,4,0.05,-0.03431713208556175
26,GP-ODE,4,0.1,-0.03656933084130287
27,GP-ODE,4,0.2,-0.09329298883676529
28,GP-ODE,4,0.3,-0.1326700896024704
29,GP-ODE,4,0.5,-0.1964668333530426
30,GP-ODE,5,0.0,-0.13783271610736847
31,GP-ODE,5,0.05,-0.12544123828411102
32,GP-ODE,5,0.1,-0.11083394289016724
33,GP-ODE,5,0.2,-0.06873919069766998
34,GP-ODE,5,0.3,-0.12401752918958664
35,GP-ODE,5,0.5,-0.16881568729877472
36,GP-ODE,6,0.0,-0.0035416099708527327
37,GP-ODE,6,0.05,-0.005635783076286316
38,GP-ODE,6,0.1,-0.017659766599535942
39,GP-ODE,6,0.2,-0.07109932601451874
40,GP-ODE,6,0.3,-0.16164261102676392
41,GP-ODE,6,0.5,-0.13583438098430634
42,GP-ODE,7,0.0,-0.10146506875753403
43,GP-ODE,7,0.05,-0.09683632105588913
44,GP-ODE,7,0.1,-0.08705104142427444
45,GP-ODE,7,0.2,-0.06292826682329178
46,GP-ODE,7,0.3,-0.06854739040136337
47,GP-ODE,7,0.5,-0.15798456966876984
48,GP-ODE,8,0.0,-0.04233242943882942
49,GP-ODE,8,0.05,-0.06247596815228462
50,GP-ODE,8,0.1,-0.0785893052816391
51,GP-ODE,8,0.2,-0.07008830457925797
52,GP-ODE,8,0.3,-0.10156399011611938
53,GP-ODE,8,0.5,-0.16166448593139648
54,GP-ODE,9,0.0,-0.05092373117804527
55,GP-ODE,9,0.05,-0.0556018128991127
56,GP-ODE,9,0.1,-0.06438681483268738
57,GP-ODE,9,0.2,-0.08946755528450012
58,GP-ODE,9,0.3,-0.1233929842710495
59,GP-ODE,9,0.5,-0.14258453249931335
60,GP-SDE,0,0.0,-0.03117838129401207
61,GP-SDE,0,0.05,-0.03174435347318649
62,GP-SDE,0,0.1,-0.033835556358098984
63,GP-SDE,0,0.2,-0.042690299451351166
64,GP-SDE,0,0.3,-0.058418430387973785
65,GP-SDE,0,0.5,-0.1285393238067627
66,GP-SDE,1,0.0,-0.053435418754816055
67,GP-SDE,1,0.05,-0.05674869194626808
68,GP-SDE,1,0.1,-0.06512551754713058
69,GP-SDE,1,0.2,-0.09102322161197662
70,GP-SDE,1,0.3,-0.09496020525693893
71,GP-SDE,1,0.5,-0.11461388319730759
72,GP-SDE,2,0.0,-0.061055030673742294
73,GP-SDE,2,0.05,-0.05572492629289627
74,GP-SDE,2,0.1,-0.05058562010526657
75,GP-SDE,2,0.2,-0.05845189839601517
76,GP-SDE,2,0.3,-0.08902397751808167
77,GP-SDE,2,0.5,-0.19139860570430756
78,GP-SDE,3,0.0,-0.09580991417169571
79,GP-SDE,3,0.05,-0.04335891827940941
80,GP-SDE,3,0.1,-0.05491900071501732
81,GP-SDE,3,0.2,-0.06467380374670029
82,GP-SDE,3,0.3,-0.09435736387968063
83,GP-SDE,3,0.5,-0.13517338037490845
84,GP-SDE,4,0.0,-0.05576594918966293
85,GP-SDE,4,0.05,-0.04147665947675705
86,GP-SDE,4,0.1,-0.02863982506096363
87,GP-SDE,4,0.2,-0.048591453582048416
88,GP-SDE,4,0.3,-0.09789152443408966
89,GP-SDE,4,0.5,-0.14391322433948517
90,GP-SDE,5,0.0,-0.1231909692287445
91,GP-SDE,5,0.05,-0.10018063336610794
92,GP-SDE,5,0.1,-0.07324439287185669
93,GP-SDE,5,0.2,-0.05992874503135681
94,GP-SDE,5,0.3,-0.09193692356348038
95,GP-SDE,5,0.5,-0.20314092934131622
96,GP-SDE,6,0.0,-0.005903773009777069
97,GP-SDE,6,0.05,-0.007517638616263866
98,GP-SDE,6,0.1,-0.013489767909049988
99,GP-SDE,6,0.2,-0.0384756475687027
100,GP-SDE,6,0.3,-0.10314568132162094
101,GP-SDE,6,0.5,-0.18309038877487183
102,GP-SDE,7,0.0,-0.06783782690763474
103,GP-SDE,7,0.05,-0.07494179904460907
104,GP-SDE,7,0.1,-0.0900954008102417
105,GP-SDE,7,0.2,-0.1297488957643509
106,GP-SDE,7,0.3,-0.1351194977760315
107,GP-SDE,7,0.5,-0.16314952075481415
108,GP-SDE,8,0.0,-0.1486773043870926
109,GP-SDE,8,0.05,-0.14231278002262115
110,GP-SDE,8,0.1,-0.1374964714050293
111,GP-SDE,8,0.2,-0.13252121210098267
112,GP-SDE,8,0.3,-0.13367235660552979
113,GP-SDE,8,0.5,-0.15594816207885742
114,GP-SDE,9,0.0,-0.077826589345932
115,GP-SDE,9,0.05,-0.07419820874929428
116,GP-SDE,9,0.1,-0.07219963520765305
117,GP-SDE,9,0.2,-0.07997889071702957
118,GP-SDE,9,0.3,-0.08140972256660461
119,GP-SDE,9,0.5,-0.12393282353878021
