Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,4.3683205,a0,rpe*y0,0.0507,-1.76*a0,rpe
13,2.1853456,2*a1,rpe*y0,0.0507*rpe,a0,a1 + 1.83
15,1.2897832,rpe*y0,0.832,-0.547*a0*rpe,rpe*y0,a0
19,0.8036142,a1*rpe*y0,a1 + 1.11,-0.974*a0*a1*(rpe - 0.458),0.199,a0
21,0.7434934,a1*rpe*y0,a1 + 0.832,-0.974*a0*(rpe - 0.458),a0*a1,rpe*y0
23,0.74289155,a1*rpe*y0,2*a1 + 0.626,-0.974*a0*(rpe - 0.458),a0*(1.1 - y0),rpe
27,0.6769875,a0*rpe + rpe*y0,-0.826*rpe,a0*(-0.974*a1 - 0.446)*(a1 + 0.224)*(rpe - 0.458),a0,y0
35,0.67523074,a0*rpe + rpe*y0,-0.826*rpe,a0*(-0.974*a1 - 0.446)*(a1 + 0.224)*(rpe - 0.458),a0,a1 + y0**3 + y0
37,0.6639372,a0*rpe + 2*rpe*y0,-0.826*rpe,a0*(-0.974*a1 - 0.446)*(a1 + 0.224)*(rpe - 0.458),a0,a1 + 2*y0 + 0.306
39,0.6522877,a0*rpe + rpe*y0,-0.826*rpe,a0*(-0.974*a1 - 0.446)*(a1 + 0.224)*(rpe - 0.458),-0.990,a1*y0 + a1 + y0**3 + y0
