Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.3780477,rpe,a1,0.0350
5,1.4691075,rpe*y0,-1.22,-0.0337
9,1.1925617,y0,rpe,0.0292*a0*rpe + 0.0292*a1
13,0.89201623,rpe,rpe*(a1 + y0),-1.02*a1*(rpe - 0.31)
15,0.6841829,rpe,rpe*(a1 + y0),-1.6*a1*(a0 + rpe + 0.369)
17,0.65140307,rpe,rpe*(2*a1 + y0),-1.6*a1*(a0 + rpe + 0.369)
21,0.6436303,1.22*rpe,rpe*(a1 + y0),-1.02*a1*(a0 + rpe + 0.369)
23,0.6335869,rpe,rpe*(2*a1 + y0),-0.86*a1*(a0 + 2*rpe + 0.087)
25,0.62623453,1.22*rpe,rpe*(3*a1 + y0),-1.02*a1*(a0 + rpe + 0.369)
27,0.5965132,rpe,rpe*(3*a1 + y0 + 0.478),-1.02*a1*(a0 + 2*rpe + 0.087)
29,0.5879588,rpe,rpe*(4*a1 + y0 + 0.478),-1.6*a1*(a0 + 2*rpe + 0.118)
