Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,0.95625347,rpe*y1,-0.691*a1,a1,rpe,-1.78*y1
13,0.93740714,a0,y1,0,a1,2*y0
17,0.7856979,0.681,a1*(rpe*y1 - 2*y1),a1**2,rpe - 2.2,y1
21,0.73728037,y1,a1*(rpe*y1 - 2*y1),a1**2,y1,a0 + rpe + y0 - 1.53
23,0.70864105,rpe,a1*(rpe*y1 - 2*y1),2*a1**2,rpe,2*rpe + y0 - 1.53
25,0.6802493,rpe*y1,a1*(rpe*y1 - 2*y1),a1*(a0 + 2*a1),rpe,rpe + 2*y0
27,0.5017885,a0 + a1,y1*(2*rpe - 1.65),-0.478*a0 - 0.478*a1*rpe + 0.646*a1,a0,0
31,0.5005864,a0 + a1,y1*(2*rpe - 1.65),-0.478*a0 - 0.478*a1*rpe + 0.646*a1,a0,y1*(2*a0 + a1)
33,0.49356085,a0 + a1,y1*(2*rpe - 1.18),-0.478*a0 - 0.478*a1*rpe + 0.646*a1,y1,a0*y1 - a0 - a1
35,0.49200276,a0 - a1,y1*(3*rpe - 2.83),0.478*a0 - 0.957*a1*rpe + 0.646*a1,a0,a1*y1
37,0.49006355,a0 - a1,y1*(3*rpe - 2.83),0.478*a0 - 0.957*a1*rpe + 0.646*a1,a0 + y0,a1*y1
41,0.48365566,a0 - a1,y1*(2*rpe - 3.53),0.478*a0 - 0.957*a1*rpe + 0.646*a1,2*a0 + rpe + 0.612,2*a0 + a1
43,0.4711299,a0 - a1,y1*(a0 + 2*rpe - 2.13),0.478*a0 - 0.957*a1*rpe + 0.646*a1,a0,a0*(a0*a1*y1**2 + a1)
47,0.46529028,a0 - a1,y1*(a0 + 3*rpe - 2.83),0.478*a0 - 0.957*a1*rpe + 0.646*a1,a0 + 2*rpe,a0**2*a1**2*rpe
49,0.46362817,a0 - a1,y1*(a0 + 3*rpe - 2.13),0.478*a0 - 0.957*a1*rpe + 0.646*a1,2*y0,a0**2*a1**2*y1**3
53,0.46148804,a0 - a1,y1*(a0 + 3*rpe - 2.83),0.478*a0 - 0.957*a1*rpe + 0.646*a1,a0 + 2*rpe + 2*y0,a0**2*a1*y1**3
