Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,1.3273655,-0.139,a0,0.133,a0*a1,rpe*y0**2
15,1.3216424,rpe*y0,a0,0.0915,rpe,-0.573*a0*rpe - a0 + rpe
19,1.1813327,1.55*rpe*(a0 + y0),a0 + 0.665,0.193*a0,-2.49*a1,a1*y0
23,1.0971808,y0*(a0 + rpe) + y0,a0,0.202*a0 + 0.0908,a1 + y0,1.63 - 0.573*rpe
25,1.0967114,y0*(a0 + rpe) + y0,rpe,0.202*a0 + 0.0908,2*y0,-a0 - 0.573*rpe + 1.1
27,1.0754818,2*a0*y0 + y0*(rpe + 1.34),0.512*y0,0.202*a0 + 0.0908,a0 + y0,-y0 - 0.573
27,1.0754818,2*a0*y0 + y0*(rpe + 1.34),0.512*y0,0.202*a0 + 0.0908,a0 + y0,-a0 - 0.573
29,1.0627029,2.93*rpe*(a0 + y0),1.21*y0,0.496*a0 + 0.109,-2.47*rpe - 2.47*y0,a0 + y0
31,0.97716904,2.93*rpe*(a0 + y0),a1 + y0,0.193*a0*(a0 + 0.441) + 0.193*a0 + 0.193*a1,-0.537*rpe,a0
37,0.92367935,2.93*rpe*(a0 + y0),2*a0 + a1 + 2*y0,0.193*a0*(a0 + 0.441) + 0.193*a0 + 0.193*a1,rpe**2,-0.0491
41,0.8739729,5.55*rpe*(a0 + y0),a0 + 2*a1 + rpe + 2*y0,0.193*a0*(a0 + 0.413) + 0.193*a0 + 0.193*a1,rpe,a1
43,0.8483049,2.55*rpe*(0.331*a0*y0**2 + y0),a1**2 + a1,0.367*a0 + 0.184*a1,a1 + y0,a1**3
45,0.8288367,2.55*rpe*(0.331*a0*y0**2 + y0),a1*(a0 + 2*y0) + a1,0.367*a0 + 0.184*a1,a0,a1**2*rpe
47,0.7905359,2.55*rpe*(0.331*a0*y0**2 + y0),a1*(2*a0 + a1 + y0) + a1,0.367*a0 + 0.184*a1,a0,a1**2*rpe
51,0.7464961,(2*rpe + 0.648)*(0.331*a0*y0**2 + y0),a0*(a0 + 4*a1 + y0) + a1,0.367*a0 + 0.184*a1,2*y0,a1 - 2.5
59,0.7463114,(2*rpe + 0.648)*(0.331*a0*y0**2 + y0),a0*(a0 + 4*a1 + y0) + a1,0.367*a0 + 0.184*a1,5*y0,2*a1 - 2.5
61,0.746067,(2*rpe + 0.648)*(0.331*a0*y0**2 + y0),a0*(a0 + 4*a1 + y0) + a1,0.367*a0 + 0.184*a1,2*a0 + a1 + 3*y0,a1
63,0.74599826,(2*rpe + 0.648)*(0.331*a0*y0**2 + y0),a0*(a0 + 4*a1 + y0) + a1,0.367*a0 + 0.184*a1,rpe + 5*y0,a1 - 1.25
67,0.74459326,(2*rpe + 0.648)*(0.331*a0*y0**2 + y0),a0*(a0 + 4*a1 + y0) + a1,0.367*a0 + 0.184*a1,2*y0*(-a0 + rpe) + 2*y0,-0.462*a0 - 2.46*a1 - 1.07
71,0.74452317,(2*rpe + 0.648)*(0.331*a0*y0**2 + y0),a0*(a0 + 4*a1 + y0) + a1,0.367*a0 + 0.184*a1,2*y0*(-a0 + rpe) + 2*y0,a0 - a1 - (a1 + 0.731)*(a0 + a1 + 0.731) - 0.731
