Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,2.1171117,rpe*y0,-0.151,3*a0 - 0.377,a1,a1
15,1.7439059,-2.03*rpe,rpe*y0,a1 - 0.234,y0,rpe
17,1.7342331,rpe,rpe*y0,a1 - 0.234,-0.754*rpe,a1*rpe
19,1.6245577,rpe,rpe*y0,2*a1 - 0.468,0.623*rpe + 1.05,a0
21,1.5738109,-a0 + a1 + y0,2*rpe*(a1 + y0),3*a1 - 0.234,a1,a0
23,1.3373855,-1.01*rpe,rpe*y0,0.365*a1*rpe + 2*a1 - 0.468,a1,1.57*rpe
25,1.2905214,rpe,rpe*y0,0.365*a1*rpe + 2*a1 - 0.468,2*y0,1.57*y0 + 0.571
29,1.2896807,rpe,0.382*rpe*y0,0.365*a1*rpe + 2*a1 - 0.234,rpe,1.57*a0*(rpe + 0.714) + 1.57*y0
31,1.208843,a1,-0.645*a1 + 0.382*rpe*y0,0.365*a1*rpe + 2*a1 - 0.234,2*rpe - y0,-1.19
35,1.1920507,a1,-0.645*a1 + 0.382*rpe*y0,0.365*a1*rpe + 2*a1 - 0.234,rpe,a0*(a0 - 1.16) - 1.87
39,1.1918427,rpe*(rpe*y0 + y0 - 0.00408) + rpe,-0.645*a1 + 0.382*rpe*y0,0.365*a1*rpe + 2*a1 - 0.234,rpe + 1.94,-1.98
41,1.1716777,-1.01,-0.645*a1 + 0.382*rpe*y0,0.365*a1*rpe + 2*a1 - 0.234,1.20,a0 + rpe*(0.32*rpe**2 + 0.714) + rpe - 0.714
