Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,5.0726156,1.89*a1 + 1.89*rpe,y0,a0,y0,a1
13,0.9354392,a0*rpe,a1 + rpe + y0,0.0101,y0 - 0.397,a0
15,0.9331796,y0 + 1.38,a0,-0.0441*a1*rpe,y0,a1*rpe
19,0.8988656,y0 + (2*a0 + rpe)*(a1 + 1.01),0.665,0.193*a0 + 0.193*a1,a1,y0
21,0.88643265,y0 + (2*a0 + rpe)*(a1 + 1.01),0.665,0.175*a0*(a0 + a1),a0,a0
23,0.8435078,a1*rpe*(a0 + y0),a0*a1**2,a0*a1,a1,-0.565
25,0.8216095,a1*rpe*(a0*(a1 - y0) + a0 + y0),a1*(a0 + a1),a0*a1,2*a0,-0.565
27,0.7831432,a1*rpe*(a0**2 + a0 + y0),a1*(a0 + a1),a0*a1,a0 + rpe,-0.565
29,0.7692578,a1*rpe*(a0**2 + a0 + y0),a1*(a0 + a1),a0*a1**2,a0 + a1,-0.565
31,0.7350387,y0**2,rpe*y0 + rpe + y0,0.0764*a0 + 0.153*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,a1 + rpe,a0 + rpe
33,0.7159272,rpe,rpe + y0**3*(2*a1 + 0.72) + y0,0.183*a1 + 0.0143,rpe,0.616
35,0.69248277,rpe*y0,rpe + y0**3*(2*a1 + 0.72) + y0,0.0916*a0 + 0.183*a1,rpe,1.22
37,0.6392611,2*a0**2*y0,a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,3*rpe,a1
39,0.624291,2*a0*a1**2,a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,a0 + rpe,a0*y0 - 0.672
41,0.6186811,a0*a1*(a0 + a1),a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,3*rpe,y0**2 - 0.672
45,0.6149571,2*a0*a1**2,a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,rpe*(a1 + rpe - 0.896) + 3*rpe,rpe
47,0.6055611,2*a0*a1**2,a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,rpe*(a1 + 2*rpe - 0.896) + 3*rpe,a0
49,0.5931187,a0*a1*(2*a0 + 4*a1),a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,a1 + rpe**2 + 2*rpe,a0
51,0.59216845,a0*a1*(2*a0 + 4*a1),a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,a1 + rpe**2 + 2*rpe,rpe + y0
55,0.5853512,a0*a1*(2*a1*(a0 + 2*a1) + a1),a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,rpe*(2*a1 + 2*rpe) + 3*rpe,y0
57,0.58532417,a0*a1*(2*a1*(a0 + 2*a1) + a1),a0*y0 + rpe*y0 + y0,0.229*a1 + 0.0764*rpe*(-a1 - 0.0764) - 0.0764*rpe,4*rpe**2 + 3*rpe,2*y0
