Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,3.1194875,a0,y1,a0**2 - a0*a1,a0,a1
13,3.0430298,-1.7*y0,rpe,0.0290,a0 + 0.689,y0 + 2*y1
15,1.2824268,0.0597 - 2*y0,rpe*y0,a1*rpe + a1,a1,a0
19,1.1746881,rpe,rpe*y0 + y1,a1*rpe,-0.325*a0 - 0.325*a1 - 0.325*y1 - 0.131,rpe
23,1.1641811,0,rpe*y0,a1*rpe + 0.412,-0.649*a0 + 0.105*rpe - 0.267,rpe
27,0.94069666,rpe - 1.18,y1*(2*a0 + 0.165*rpe),-2*a0*a1 - a0 + a1 - rpe,a0,y0
29,0.896053,-1.18,y1*(2*a0 + 0.165*rpe),-2*a0*a1 - a0 + a1 - rpe,y0,a0 + a1 + y0
31,0.834471,a1 - 1.18,y1*(2*a0 + 0.329*rpe),-2*a0*a1 - a0 + a1 - rpe,a0,y0
33,0.8176577,-1.18,y1*(2*a0 + 0.329*rpe + 0.165),-2*a0*a1 - a0 + a1 - rpe,a0,2*a0
35,0.8175075,-1.18,y1*(2*a0 + 0.329*rpe + 0.165),-2*a0*a1 - a0 + a1 - rpe,a0 + y0,2*a0
37,0.7991555,-0.913,y1*(2*a0 + 0.329*rpe + 0.165),-2*a0*a1 + a1 - rpe + 1.08,a0 - y0,3*a0
41,0.7806087,-0.913,y1*(2*a0 + a1 + 0.678*rpe + 0.165*y1),-2*a0*a1 - a0 + a1 - rpe,0,a0 + y0 + y1
43,0.77342427,-0.913,y1*(2*a0 + a1 + 0.678*rpe + 0.165*y1),-2*a0*a1 - a0 + a1 - rpe,-0.942*a0*(a0 - y0)*(a0 + y0),a0 + a1
45,0.73257554,a0*rpe - 0.913,y1*(3*a0 + a1*rpe + a1 + rpe),-a0*a1 - a0 + a1 - rpe,(a0 + a1)*(a0 - y0),a0**2 + a0
47,0.72538334,a0*rpe - 0.913,y1*(3*a0 + a1*rpe + a1 + rpe),-a0*a1 - a0 + a1 - rpe,(a0 + a1)*(a0 - y0),2*a0*y1 + a0
51,0.70969236,a0*rpe - 0.913,y1*(3*a0 + a1*rpe + rpe),-a0*a1 + 2.08*a1 - rpe + 1.08,a0*(a0*(a0 - y0) + a0),a0 - 1.1*a1 - 1.1*y1
