Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
17,2.865491,2*a0*y0,a0 + rpe,0.539*a0,a1,a0*a1*y0
19,1.6523321,-0.178*a1 + 0.282*rpe - 0.334,a0 - 0.81,0.0155,a0,a0*rpe*y0
23,1.380012,a1 + 0.0444,a0**2*y0 + rpe*y0,-0.313*a1*rpe + 0.598*a1,a1,0.161
25,1.0827937,2*a0 + 0.792,a1*(rpe - 0.137) + rpe*y0,-0.272*a1*rpe + 0.598*a1,rpe,-0.535
31,1.0513808,2*a0,a1*(rpe - 0.137) + rpe*y0,-0.272*a1*rpe + 0.598*a1,a1*rpe,a0 + 1.32
33,1.0198227,-0.0799*rpe*(a1 + y0),0.739,a0*rpe - 1.23*a0,a0 + a1 - 5.94,a0 + rpe
37,0.99800897,a1*y0,a1*(a0 + rpe - 0.137) + rpe*y0,-0.272*a1*rpe + 0.598*a1,y0 + 1.88,a1*rpe + y0*(a1 + y0) + y0
41,0.9270195,(a0 + y0)*(a1 + rpe),a1*(a0 + rpe - 0.137) + rpe*y0,-0.272*a1*rpe + 0.598*a1,a0*y0 + y0*(a0 - y0),0.931*a0
45,0.89364266,(a1 + rpe)*(y0 - 0.519),a1*(a0 + rpe - 0.137) + rpe*y0,-0.272*a1*rpe + 0.598*a1,a0*y0*(a0 - y0) + a0*y0,-0.0686*a0*y0**2
47,0.8807539,(a1 + rpe)*(a0 + y0 - 0.805),a1*(a0 + rpe - 0.137) + rpe*y0,-0.272*a1*rpe + 0.598*a1,a0**2*a1 + a0*a1*(a0 - y0),a0*(rpe + y0)
