Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
5,3.2496061,a0,y0,a0,y0,y0
7,2.284324,a1 - 2.39,a0,0.634,y0,a0
11,1.6549793,rpe*y0,2*rpe*y0,a1,y0,y0
15,1.6474952,y0,2*rpe*y0,a1,2*a1,a1*rpe
17,1.6068107,rpe*y0,rpe,a1**2*(2*a0 + rpe),y0**2,a1
19,1.5649093,a1 - 2.39,rpe*(a0 + y0),1.03*a1 + 0.401*rpe,y0,a0
21,1.5491593,3*a1 - 2.39,rpe*(a0 + y0),a1 + 0.401*rpe,y0,rpe
23,1.5458634,3*a1 - 2.39,rpe*(a0 + y0),1.03*a1 + 0.401*rpe,y0,a0
25,1.5455576,4*a1 - 2.39,rpe*(a0 + y0),1.03*a1 + 0.401*rpe,y0,a1
27,1.5436639,4*a1 - 2.39,rpe*(a0 + y0),1.03*a1 + 0.401*rpe,1.54 - y0,-0.506
29,1.5424249,4*a1 - 2.39,rpe*(a0 + y0),1.03*a1 + 0.401*rpe,rpe*y0**2,a0
31,1.54221,4*a1 - 2.39,rpe*(a0 + y0),1.03*a1 + 0.401*rpe,rpe*y0**3,a0
31,1.54221,4*a1 - 2.39,rpe*(a0 + y0),1.03*a1 + 0.401*rpe,rpe*y0**3,a0
35,1.5292045,y0*(a0 + a1 + rpe) - 0.936,-0.564*a0 + rpe*y0 - 0.658,a0**2*a1*rpe + 2*a0 + 2*a1,1.47,-0.853
39,1.4766402,y0**2 + y0*(a1 + rpe) - 0.257,-1.13*a0 + rpe*y0,a0**3*rpe + 2*a0 + 2*a1,y0,0.422*y0
41,1.400495,a0*y0 - a0 - a1 + y0*(rpe - 0.0661),rpe*y0 + 0.318,a0**2*a1*rpe + 2*a0 + 2*a1,y0,a0*(2*a0 + y0)
45,1.3934395,y0**2 + y0*(a0 + a1 + rpe) + 0.257,-1.13*a0 + rpe*y0 + 0.191,a0**3*rpe + 2*a0 + 2*a1,-0.243*a0,2*y0
47,1.3692653,y0**2 + y0*(a0 + a1 + rpe) + 0.257,-1.13*a0 + rpe*y0 + 0.191,a0**3*rpe + 2*a0 + 2*a1,-0.243*a0,2*a0 + y0
49,1.3691423,y0**2 + y0*(a0 + a1 + rpe) + 0.257,-1.13*a0 + rpe*y0 + 0.191,a0**3*rpe + 2*a0 + 2*a1,-0.243*a0 + 2*y0,0.422*rpe
