Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.0675662,a1,rpe,-0.0890
5,0.7816732,0.418*y0,rpe,0.0447
7,0.77855635,-0.867,rpe,-0.0368*a1
11,0.73653495,rpe*y0,rpe,0.074*a0 + 0.0441
13,0.6904978,rpe*y0,y0,0.074*a0 + 0.074*a1 + 0.0441
15,0.68622077,rpe*(a0 + y0),y0,0.074*a0 + 0.074*a1 + 0.0441
15,0.68622077,rpe*(a0 + y0),y0,0.074*a0 + 0.074*a1 + 0.0441
17,0.68386114,rpe*(2*a0 + y0),y0,0.074*a0 + 0.074*a1 + 0.0441
19,0.67055917,rpe*(a0 + y0 - 0.0036),y0 - 0.114,0.074*a0 + 0.074*a1 + 0.0441
23,0.6668839,rpe*y0,2*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0862
25,0.62920547,rpe*y0,4*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0441
27,0.62424386,rpe*(2*a0 + y0),3*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0441
29,0.6226148,rpe*(2*a0 + y0 - 0.269),3*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0441
29,0.6226148,rpe*(2*a0 + y0 - 0.269),3*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0441
31,0.6145069,rpe*(2*a0 + y0 - 0.269),4*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0441
33,0.6023535,rpe*(3*a0 + y0 - 1.2),3*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0441
35,0.5981083,rpe*(3*a0 + y0 - 0.808),4*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0441
37,0.590505,y0*(0.218*rpe*(a0 + y0 - 0.467) + rpe),3*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0882
37,0.590505,y0*(0.218*rpe*(a0 + y0 - 0.467) + rpe),3*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0882
41,0.5895059,y0*(0.218*rpe*y0 + rpe),6*y0 - 1.53,0.148*a0 + 0.074*a1 + 0.132
43,0.589296,y0*(0.218*rpe*(a0 + y0 - 0.467) + rpe),-1.15*rpe + 4*y0 - 0.764,0.148*a0 + 0.074*a1 + 0.111
45,0.57477164,y0*(0.218*rpe*(a0 + y0 - 0.467) + rpe),a0 + y0*(a1 + y0) + 3*y0 - 0.764,0.148*a0 + 0.148*a1 + 0.0882
