Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.0250838,0.761,a1,0,rpe**2,-0.419*rpe
13,1.9769886,rpe**2*y1,y1,-0.0195*a0,y1,y0 + y1
17,1.7719264,rpe*y1,y1,a0*(-0.0195*a1 - 0.0195*rpe + 0.0604),y0,a1 + y0
19,1.2507708,a1,-0.666*a1*rpe - 0.333*a1 - 0.666*y1,a1,rpe + y1,a0
21,1.1859539,-7.78,-0.666*a1*rpe - 0.333*a1 - 0.666*y1,a1 + 0.185,y1,a1 - 1.3
25,1.176969,-2.04,-0.666*a1*rpe - 0.333*a1 - 0.666*y1,a1 + 0.185,2*y1,a0 - 5.2
27,1.1734676,y0 - 7.78,-0.666*a1*rpe - 0.333*a1 - 0.666*y1,-a0 + a1 - 0.961,y1,-14.3
29,1.1119981,y0 - 5.04,-0.666*a1*rpe - 0.333*a1 - 0.666*y1,-a0 + a1 - 0.858,3*y1,-12.3
33,1.111908,y0 - 5.04,-0.666*a1*rpe - 0.333*a1 - 0.666*y1,-a0 + a1 - 0.858,rpe*y1**2 + 2*y1,-12.3
35,1.1118526,y0 - 5.04,-0.666*a1*rpe - 0.333*a1 - 0.666*y1,-a0 + a1 - 0.858,2*rpe*y0*y1**3,-12.3
37,1.1006669,y0,-a1 - y1,86.3*a1*rpe*(2*a1 + rpe - 3.1),y1,2*y0 - 0.358
39,1.0993898,-0.818,-a1 - y1,86.3*a1*rpe*(2*a1 + rpe - 3.1),2*y1,a0 + 2*y0
43,1.0962445,2*y0,-2*a1 - 4*y1,86.3*a1*rpe*(2*rpe - 6.19),y1*(y0 + y1**2),a0 - 0.441
51,1.0921488,a1,a1*rpe - 2*a1 - rpe*y0 - rpe*y1,(a0 + 5*a1)*(rpe - 0.921),1.75*a0*y1,y1*(rpe + y0) + (y0 - 1.9)**2
53,1.0797533,a1,a1*rpe - 2*a1 - rpe*y0 - rpe*y1,(2*a0 + 4*a1)*(rpe - 0.921),a0*rpe*(a0*rpe + y0),y0*(-3.8*a1 - 3.8*y0) + y1*(y0 - 1.9)
55,1.0698292,a1,a1*rpe - 2*a1 - rpe*y0 - rpe*y1,(2*a0 + 4*a1)*(rpe - 0.921),a0*rpe*(a0*rpe + y0),y1*(y0 - 1.9) + (-3.8*a1 - 3.8*y0)*(rpe + y0)
