Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,0.8906337,a0*y1,rpe,a0*rpe,2*a1 + y1,a0
17,0.718105,a1*rpe,a1*rpe - a1 + y1,a1*rpe,a1,a0*a1
21,0.70861274,rpe**3*y0*y1**2,-a1 + y1,a1*(a1 + rpe),y0,rpe
23,0.46834266,y1*(1.51 - rpe),a0 + y1,2*a0*(2*rpe - 0.883),-1.16,y1**2
25,0.4502389,y1*(0.979 - rpe),-0.240,a0*(5*rpe - 1.77),rpe,y0
27,0.42786646,y1*(0.845 - rpe),a0,a0*(5*rpe - 1.77),-1.16,a0
29,0.32582504,(a0*y1 + rpe)*(a0 - y0 - 3*y1),y1,a0*(-a1**2 + 2*rpe - 0.58),y0,a0
33,0.31671765,(a0*y1 + rpe)*(a0 - y0 - 3*y1),a0 + rpe,a0*(4*rpe - 2.65),-6.13,y1
35,0.29870635,(a0*y1 + rpe)*(-y0 - 3*y1 - 0.189),a0,a0*(5*rpe - 1.77),-3.36,a0*y1
37,0.2972265,(a0*y1 + rpe)*(a0 - y0 - 3*y1),a0 + rpe,a0*(5*rpe - 1.77),-6.13,a0*y1
43,0.29634804,(a0*y1 + rpe)*(a0 - y0 - 3*y1),a0 + rpe,a0*(5*rpe - 1.77),a1*rpe + rpe - 3.36,y0*y1
51,0.2911482,(a0*y1 + rpe)*(a0 - y0 - 3*y1),y1*(a0 + rpe),a0*(5*rpe - 1.77),rpe**2 + rpe - 10.1,a0*y0*y1
57,0.2881921,(a0*y1 + rpe)*(a0 - y0 - 3*y1),a0**2*a1*y0*(a0 + rpe) + a0,a0*(5*rpe - 1.77),a1*(rpe**2 + rpe - 6.72) + a1,rpe
