Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,1.7938144,a1,2.61,a0*(-a0 + rpe) + a1,rpe,0.463
13,1.707942,a1,-0.654*rpe + y0,-0.313*rpe,a0 + a1,a0
19,1.1875287,-y0 + y1,7.25,a0*(-a0 + rpe) + a1,0.188*a0*a1 + 0.98,y0
27,1.1390368,-y0 + y1,rpe - y0 + 3.62,a0*(-a0 + rpe) + a1,0.184*a0*(a1 + y1),a0 + y0
31,1.0922508,rpe*y0,-0.0649*a0 + 0.0649*rpe*y0,a0 + 0.963*a1*rpe + 0.397,a0,rpe - 0.0484
35,1.0849218,y0*(a0 + a1 + rpe),-0.0649*a0 + 0.0649*rpe*y0,0.963*a0 + a1*rpe + 0.403,a0,rpe + 2*y0 + y1 - 0.372
37,1.0755057,y0*(a0 + rpe),0.0649*rpe*y0 - 0.0649*y0,0.963*a0 + a1*rpe + 0.397,a0**2*rpe,a1**2*rpe + a1 + y1
39,1.0750144,y0*(a0 + a1 + rpe),-0.0649*a0 + 0.0649*rpe*y0,0.963*a0 + a1*rpe + 0.397,a1,a1*(a0 + rpe)*(rpe - 0.0484) + a1 + y1
41,1.0283935,a1*(a0*y0 - y0 - y1),(rpe - y1*(a1 - 0.37))*(y0 + y1),a1*rpe*(a0 - 0.2) + a1 + 0.522,2*a1,a0
43,1.012787,a1*(a0*y0 - y0 - y1),(rpe - y1*(a1 - 0.37))*(y0 + y1),a1*rpe*(a0 - 0.2) + a1 + 0.522,rpe - y0,rpe + 0.463
45,1.0062307,a1*(a0*y0 - y0 - y1),(rpe - y1*(y0 + y1))*(y0 + y1),a1*rpe*(a0 - 0.2) + a1 + 0.522,a1,1.46*a0 + 0.463
49,1.001775,a1*(a0*y0 - y0 - y1),(y0 + y1)*(-a1*y1 + rpe),a1*rpe*(a0 - 0.2) + a1 + 0.522,2*a1**2 - 2*a1 - y0,a0*rpe
51,0.98651993,a1*(a0**2*y0 - y0 - y1),(rpe - 2*y1)*(y0 + y1),a1*rpe*(a0 - 0.2) + a1 + 0.522,2*a1 + y0,1.93*a0 + 0.463
55,0.9307823,a1*(a0*y0 - y0 - y1),(rpe - y1*(2*a1 - 0.37))*(y0 + y1),a1*rpe*(a0 - 0.2) + a1 + 0.722,-a1 - y0,a0*rpe + a0 + 0.463
