Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,1.6997426,-1.01*rpe,rpe*y0,a1 - 0.234,y0**2,rpe
17,1.3709276,y1,y0*(rpe + y1),3*a1 + rpe,0.905*y0,y0
23,1.2999609,a1 + y0 + 2.5,y0*(a1 + rpe + y1),3*a1 + rpe,0.905,rpe
25,1.271703,2.50,y0*(a1 + rpe + y1),5*a1 + rpe + 0.132,0.905,y0
27,1.2108711,0.281*rpe + y0*(rpe + y1) - 0.719*y1,a0 + a1,a0*rpe + 3*a0,y0,y0
29,1.2020063,rpe,(a1 + rpe)*(2*a1 + 2*y0 - 0.382),2*a1**3 + a1*rpe + a1,a0,1.21
31,1.0838532,rpe*y0 + 0.281*rpe - 1.44*y1,0.0102*a0,a0*rpe + 5*a0,-0.809,-0.490
37,1.0675507,rpe*y0 + 0.281*rpe - 2.16*y1,1.06e-6*a1,a0*rpe + 4.45*a0,y1,y1
41,1.0662525,rpe*y0 + 0.281*rpe - 2.16*y1,0.0102,a0*rpe + 5*a0,y1 + 0.345,4*a0
43,1.0612109,rpe*y0 + 0.281*rpe - 2.16*y1,-a1 - 0.000208*y0*y1 + 0.0102,a0*rpe + 5*a0,0.344*rpe,-0.0257
45,1.0609375,rpe*y0 + 0.281*rpe - 2.16*y1,a1 + 2*y1,a0*rpe + 5*a0,y1,a1*y0*(a1*y0 + y1**2)
47,1.0603817,rpe*y0 + 0.281*rpe - 2.16*y1,a1 + 0.0102,a0*rpe + 5*a0,y0*y1 + 3*y0 + y1 + 0.439,2*a0
51,1.0467325,rpe*y0 + 0.281*rpe - 2.16*y1,a1*y0*y1 + 0.0102,a0*rpe + 5*a0,rpe + y0,2*a1*y0 + y0*(y1 - 0.549)
51,1.0467325,rpe*y0 + 0.281*rpe - 2.16*y1,2.01*a1 + 0.0102,a0*rpe + 5*a0,rpe + y0,2*a1*y0 + y0**2
65,1.0455999,rpe*y0 + 0.281*rpe - 2.16*y1,-0.233*a1 + 0.233*y1,a0*rpe + 5*a0,2*y0**2 + 2*y0 + 2*y1,4*a0 + a1 + 2*y0
65,1.0455999,rpe*y0 + 0.281*rpe - 2.16*y1,0.233*y1 - 0.00238,a0*rpe + 5*a0,2*y0**2 + 2*y0 + 2*y1,4*a0 + a1 + 2*y0
