Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.8327084,a1,rpe,-0.228
5,2.0575123,a1*y0,1.26,0.0834
5,2.0575123,rpe*y0,-1.20,0.0834
9,1.7309712,rpe*y0,y0 - 0.00818,0.523*a0
11,1.4574883,a1**2*rpe*y0,0.695,0.523*a0
13,1.2534748,rpe*y0,rpe,2*a0*a1*(a1 + rpe)
17,1.1578021,rpe*(2*a0 + y0),rpe,a0*(a1 - 0.758)*(a1 + rpe)
19,1.1067418,rpe*(3*a0 + y0),rpe,a0*(a1 - 0.758)*(a1 + rpe)
23,1.061121,rpe*(3*a0 + y0 - 0.176),rpe,a0*(a1 - 0.758)*(a1 + rpe)
29,1.0472403,rpe*(a0*y0*(a0 + y0) + 2*a0 + y0),rpe,a0*(a1 + rpe)*(2*a1 + 2*rpe)
