Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,2.4512463,rpe,a1,-1.17*rpe,rpe + 0.94,0.182
13,2.0697122,a0,a0*a1,a1 + rpe,2*rpe,rpe + y0
15,1.5748426,rpe*(a0 + y0),0.0567,3*a0 + rpe,3.20,-0.344
17,1.5611918,rpe*(a0 + a1 + y0),a1,3*a0 + rpe,0.270,y0
21,1.4919577,rpe*(2*a0 + 2*y0),-0.0197*a0,3*a0 + rpe,rpe,-0.344
23,1.4884409,rpe*(2*a0 + 2*y0),0.0567,3*a0 + rpe,-2.62,0.446
25,1.4695222,2*rpe*(a0 + y0),rpe*y0,2*a0 + a1 + rpe,2*a0,rpe + 1.7
27,1.4631438,2*rpe*(a0 + y0),rpe*y0,2*a0 + a1 + rpe + 0.083,rpe,rpe*y0 + rpe + 0.851
31,1.3981397,rpe*(a0 + y0),y0*(a0 + 2*a1 + rpe),3*a0 + 2*a1 + rpe,a0,0.851
35,1.3770185,rpe*(a0 + y0),y0*(2*a0 + 3*a1 + rpe),3*a0 + 2*a1 + rpe,a0,1.38
41,1.3758913,rpe*(a0 + y0),y0*(2*a0 + 3*a1 + rpe),3*a0 + 2*a1 + rpe,a0*rpe - 0.292*rpe,1.38
53,1.3758411,0.211*rpe*(2*a0 + 3*y0),y0*(a0 + 2*a1 + rpe),3*a0 + 2*a1 + rpe,a0 + rpe,0.54*a1*(a0 + a1 + 0.851)
