Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.5936298,-2.67*y1,a0,a1 - 1.3,a0*a1,rpe
13,1.9181162,rpe*(a0 + 0.641),a1*rpe,a1 + rpe,y1,a0
17,1.8020006,rpe*y1,y0 - 1.04,2*a0 + rpe - 1.3,a1 + y1,rpe
21,1.5840615,y1*(rpe - 2.36),-0.673,a0*rpe + a0 + a1 + 0.515,rpe,a1*y0
23,1.3575913,y1*(rpe - 2.36),0.182,a0*(0.954*a0 + 0.954*rpe) + 2*a0 - 1.3,a1,rpe
25,1.2818079,y1*(rpe - 3.54),-2.03,a0*(0.954*a0 + 0.954*rpe) + 2*a0 - 1.3,a1,y0
27,1.2384896,y1*(rpe - 3.54),rpe,a0*(0.954*a0 + 0.954*rpe + 0.503) + 2*a0 - 1.3,-1.69,y0
29,1.2364056,y1*(rpe - 3.54),rpe,a0*(0.954*a0 + 0.954*rpe + 0.503) + 2*a0 - 1.3,a1 - 1.69,y0
31,1.1709023,rpe*y0 - 1.35*y1,(a0 + y1)*(-y0 + y1),2*a0 + 0.515*rpe - 0.424,rpe - 1.65,1.13
31,1.1709023,rpe*y0 - 1.35*y1,(a0 + y1)*(-y0 + y1),2*a0 + 0.515*rpe - 0.424,rpe - 1.65,y0
31,1.1709023,rpe*y0 - 1.35*y1,(a0 + y1)*(-y0 + y1),2*a0 + 0.515*rpe - 0.424,rpe - 1.65,rpe
31,1.1709023,rpe*y0 - 1.35*y1,a0*y1*(-y0 + y1),2*a0 + 0.515*rpe - 0.424,rpe - 1.65,y0
31,1.1709023,rpe*y0 - 1.35*y1,3*y0*y1,2*a0 + 0.515*rpe - 0.424,rpe - 1.65,a1
35,1.1432016,y1*(a1*(-1.18*a1 - 3.14) + rpe - 1.18),rpe + 1.35,a0*(0.954*a0 + 0.954*rpe + 0.91) + 3*a0,y0**2,rpe
37,1.094098,y1*(a1*(-1.18*a1 - 3.14) + rpe - 1.18),a1 + rpe + 2.71,a0*(0.954*a0 + 0.954*rpe + 0.91) + a0 - 0.351,y1,-1.76
41,1.0543377,y1*(a1*(-1.18*a1 - 3.14) + rpe - 1.18),a1 + rpe + 2.71,a0*(0.954*a0 + 0.954*rpe + 0.91) + a0 - 0.351,y0,y1
47,1.0528467,y1*(a1*(-1.18*a1 - 3.14) + rpe - 1.18),a1 + rpe + 2.71,a0*(0.954*a0 + 0.954*rpe + 0.91) + a0 - 0.351,y0*(a1 - y1),-rpe**2 + rpe + y1
49,1.052284,y1*(a1*(-1.18*a1 - 3.14) + rpe - 1.18),a1 + rpe + 2.71,a0*(0.954*a0 + 0.954*rpe + 0.91) + a0 - 0.351,y0,-1.76*rpe**3*(1.76*rpe + y1)
53,1.0521275,y1*(a1*(-1.18*a1 - 3.14) + rpe - 1.18),a1 + rpe + 2.71,a0*(0.954*a0 + 0.954*rpe + 0.91) + a0 - 0.351,2*y0,0
61,1.0321326,y1*(a1*(-1.18*a1 - 3.14) + rpe - 2.36),a1 + rpe + 2.46,a0*(1.91*a0 + 0.954*rpe) + 2*a0 - 1.3,y0*y1*(a1 + y0*y1 + y0) + y0*y1,3.11*rpe + 3.11*y1
65,1.0256927,y1*(a1*(-1.18*a1 - 3.14) + rpe - 2.36),a1 + rpe + 2.46,a0*(1.91*a0 + 0.954*rpe) + 2*a0 - 1.3,y0*y1 + y1*(y0*y1 + y0 + y1),(3.11*rpe + 3.11*y1)*(rpe + y1 + 1.76)
