Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.371748,-1.30,a1,rpe
5,1.8384626,rpe,rpe,a1*rpe
7,1.3616407,rpe*y0,y1,2.26*a0
9,1.1212239,rpe*y0,y1,2.26*a0 - 2.26*a1
15,1.0538573,rpe*(a0 + 2*y0),y1,5.09*a0 - 5.09*a1
17,1.0196447,rpe*y0,y1,6.77*a0 - 6.77*a1
19,0.9678606,2*rpe*y0,2*y1,2*a0 - 2*a1 - 0.371*rpe
21,0.9644845,rpe*(y0 - 0.154),2*y1,4.51*a0 - 4.51*a1
23,0.9507361,2*rpe*(a0 + 2*y0),2*y1,2*a0 - 2*a1 - 0.371*rpe
25,0.95040166,2*rpe*(0.377*a1 + y0 - 0.154),2*y1,2*a0 - 2*a1 - 0.371*rpe
27,0.8937292,2*rpe*(0.377*a1 + 1.38*y0),1.58*y1,2*a0 - 2*a1 - 0.371*rpe
