Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,4.7691774,y1,y0,rpe*(a1 + rpe),y1,a0
11,0.78357804,rpe*y1,rpe,0.0606,rpe,a0**2 + y1
13,0.7814788,rpe*y1**2,rpe,0.0500,a0*a1*y1,y0
15,0.77816236,a0,a1 + y1,0.0379*rpe*(a1 + rpe),y1,a0
17,0.63460594,rpe*y1,rpe,-0.104*a0*(a1 + rpe) + 0.0564,-1.44,-0.105
19,0.6111369,rpe*y1,rpe,-0.104*a0*(a1 + rpe) - 0.104*a1 - 0.0112,y0,y1
21,0.60323447,2*rpe*y1,rpe,-0.104*a0*(a1 + rpe) - 0.104*a1 - 0.0112,y1,-0.105
23,0.60179394,3*rpe*y1,rpe,-0.104*a0*(a1 + rpe) - 0.104*a1 - 0.0112,a1,-0.105
27,0.5997146,4*rpe*y1,rpe,-0.207*a0*(a1 + rpe),y1,y1
29,0.50828016,y0*y1*(y0 + 0.443),-0.39*a1*rpe + 0.39*y1,a0*a1*(-a0 - 0.408),rpe*y0,2*y1
33,0.40661728,a1**2*(a0 + 1.3),-1.33*a1*rpe - 1.76*y1,a0*a1,rpe,a0*y0 - 0.918
43,0.40198416,a1**2*rpe*y1**2 + a1*rpe - y1,-0.39*a1*rpe + 0.39*y1,-1.89*a0**2*a1,-rpe - 0.038,-3.67
45,0.38679796,a1*rpe**2*y1 - a1*rpe + y1,-0.39*a1*rpe + 0.39*y1,-2.18*a0**2*a1,-a0 + rpe - 1.76,a0 - 0.738*a1 - 0.918
47,0.37734795,(2*y0 - y1)*(a1*rpe + y0),-1.33*a1*rpe - 1.76*y1,a1*(0.649*a0**2 + 0.123*a0),rpe*y0*y1,a0*y0 + rpe - 0.918
49,0.3406186,y0*(a1*rpe + y0),-1.33*a1*rpe - 1.76*y1,a1*(0.649*a0**2 + 0.123*a0),0.697,a0*y0 + a0*(a0*a1 - 0.918) - 0.918
