Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.5697913,y0,a0*y0,rpe
5,1.5697913,rpe,a0**2,rpe
9,1.409437,y0*(a0 + rpe),a0,a0 + rpe
15,1.2137661,rpe*y0,a0 + y0,rpe**2*(a0 + a1 + rpe)
17,1.1522768,rpe,rpe*y0 + rpe,rpe**2*(3*a1 + rpe)
19,1.1025541,rpe*y0,a1,2*rpe**2*(3*a0 + a1 + rpe)
21,1.0433506,a1,rpe*(a1 + y0) + rpe,rpe**2*(4*a1 + rpe)
23,1.0411222,a0 + a1 + y0,rpe*(a1 + y0),rpe**2*(3*a1 + rpe + 0.312)
25,0.98604804,y0*(3*a0 + rpe),a0,(rpe + 0.169)**2*(2*a0 + a1 + rpe)
27,0.9562207,y0*(4*a0 + rpe),a0,(rpe + 0.169)**2*(2*a0 + a1 + rpe)
31,0.95622057,y0*(4*a0 + rpe),a0,(rpe + 0.169)**2*(2*a0 + a1 + rpe)
