Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,2.8187144,rpe*y1,y1,a1*rpe + 0.266,rpe + y0,y1
15,2.0630298,rpe,-0.283*y0,2*a1 + rpe - 0.0221,a1 + y0,y1
17,1.5524795,a1 + rpe + y1,2*y0,rpe*(-a1 - 0.553),a0 + y0,-2.88
21,1.3434489,rpe,a1*y0 + rpe + y1 + 0.582,4*a1*rpe,y1,0
27,1.311879,a1**2*rpe,rpe*(y0 + y1),3*a1 - 0.0924,a1 + rpe,a0**4
29,1.2354603,a1*rpe,rpe*(y0 + y1),a1*(a0 + a1 - rpe) + 2*a1,a1 + rpe,a0**4
31,1.2129643,rpe*y0 - y1,a1*y0 + rpe + 2*y1,a0 + 1.32*a1**2*rpe + 2*a1*rpe,a0,1.61
33,1.0054696,a1*y1 + rpe*y0 - 1.2*y1,a1 + y0 + y1 - 1.85,3.85*a0 - rpe,-a0 + a1,-0.0637
35,0.98089767,rpe*y0 - 1.8*y1,-a0 - a1 + y0,3*a0 - rpe,a0 + y1,2*rpe
37,0.9788352,rpe*y0 - 1.8*y1,a1*y0**3,3*a0 - rpe,3*y1,y0
41,0.9484378,rpe*y0 - 1.58*y1,2*a0*(-a0*y0 - a0 + y0),4*a0 - a1**2 - a1 - rpe,a1,rpe
43,0.9390214,rpe*y0 - 1.58*y1,y0*(a0 + a1),4*a0 - a1**2 - a1 - rpe,4*y1 - 1.66,a0
45,0.9322558,rpe*y0 - 1.58*y1,(a0 + a1)*(-2*a0 + y0 + 0.787),4*a0 - a1**2 - a1 - rpe,a1 + y1,a0*y0
49,0.93217397,rpe*y0 - 1.58*y1,(a0 + a1)*(y0 - y1*(a0 + a1)),4*a0 - a1**2 - a1 - rpe,a1 + y1,rpe + y0
51,0.93119013,rpe*y0 - 1.58*y1,(a0 - 0.787)*(-2*a0 + y0 - y1 + 0.787),4*a0 - a1**2 - a1 - rpe,3*y1 - 0.916,2*y0
61,0.92934424,rpe*y0 - 1.58*y1,(a0 - 0.787)*(-2*a0 + y0 - y1 + 0.787),4*a0 - a1**2 - a1 - rpe,5*y1 - 0.916,a1 + y0*(a0 + 2*y0)
