Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.2130814,rpe,-0.722,a0*rpe,0.421,a0*rpe - y0
13,1.3897616,rpe*(-a1 + y0),y0,3*a0,-0.190,0.222
17,1.3452073,rpe*y0,-0.722,a0*rpe + 3*a0,0.421,a0*rpe
21,1.2016852,rpe*y0 + rpe - y1,rpe,3*a0 + rpe - 0.382,a1*rpe,y1
23,1.1588115,rpe*y0 + rpe - y1,a1 + y0,3*a0 + rpe - 0.123,a1*y0,y1
25,1.1549449,rpe*y0 + rpe - 1.12*y1,y0,3*a0 + rpe - 0.123,rpe*y1**2,y1
27,1.0939921,rpe,rpe*y0 + rpe - 2*y1,4*a1 + rpe + 0.279,-2.22,-1.37
29,0.9877751,y1 + 1.12,2*rpe*y0 - 2*y1,5*a1 + rpe,y1,y0
31,0.97210693,2*y1,2*rpe*y0 - 2*y1,5*a1 + rpe,y0,2*y0
37,0.95771956,a0 + y1,2*rpe*y0 - 2*y1,5*a1 + rpe - 0.237,rpe + y1,a0*a1 + 2*a0 - a1
39,0.9340358,0.281*a0*y1 + a0,2*rpe*y0 - 2*y1,5*a1 + rpe - 0.237,2*a1 + 0.937,2*a0 - a1
41,0.93340397,a0*a1 + a0,2*rpe*y0 - 2*y1,5*a1 + rpe - 0.237,a1 + rpe + 1.4,a0*y1 + 2*a0 - a1
43,0.92885137,a0*a1*rpe*y0 + a0,2*rpe*y0 - 2*y1,5*a1 + rpe - 0.237,rpe - 0.41,a0*a1 + 2*a0 - a1
49,0.9286265,a0**2*a1*rpe**2*y1 + a0,2*rpe*y0 - 2*y1,5*a1 + rpe - 0.237,2.43*rpe,a0*a1 + 2*a0 - a1
57,0.91222656,a0*(a0**2*(-a0 + y1) + a0*y1 - a0),2*rpe*y0 - 2*y1,5*a1 + rpe - 0.452,a0 + y0 + 1.95,4*a0 + 4*y0
63,0.9113002,a0*(a0**2*a1 + a0*y1 - a0),2*rpe*y0 - 2*y1,5*a1 + rpe - 0.452,a0*(a0 + 2.0) + a0 + a1 + 3.35,4*a0 + 4*y0
