Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.057044,a0*rpe*(rpe + y0),a0,0.0552,rpe,a1
13,2.019056,a0*rpe,11.6,2*a0,y0,a0*a1**2
15,1.5391548,a0*rpe,a1*(a1 - 0.951) - 0.951,a0 + 0.0506,a0,rpe
17,1.3563446,a0*rpe*(a0**2*rpe + a0*y0),a0,a0,a1,1.03
19,1.3240474,a0*rpe*(a0**2*rpe + a0*y0),-4.81,a0,a0*a1,-1.66
21,1.2702138,a0*rpe*(a0**2*rpe + a0*y0),a0,a0,0.609*a1 - 0.609*y0,a1
23,1.2398713,a0*rpe*(a0**2*rpe + a0*y0),a0**2,a0,0.609*a1 - 0.609*y0,a1
25,1.2332959,a0*rpe*(a0**2*rpe + a0*y0),a0**2*a1,a0,0.609*a1 - 0.609*y0,a1
27,1.1609595,a0*rpe*(a0**2*rpe + a0*y0),(a0 - rpe)*(a0 + y0),a0,2*a1*rpe,y0
29,1.1190282,a0*rpe*(a0**2*rpe + a0*y0),(a0 - rpe)*(a0*a1 + y0),a0,2*a1*rpe,y0
31,1.1189021,a0*rpe*(a0**2*rpe + a0*y0),(a0*a1 - rpe)*(a0*a1 + y0),a0,2*a1*rpe,y0
33,1.1171219,a0*rpe*(a0**2*rpe + a0*y0),(a0*a1 + y0)*(a0*(a1 + y0) - rpe),a0,2*a1*rpe,y0
35,1.1109468,a0*rpe*(a0**2*rpe + a0*y0),(a0 + y0)*(-2.4*a1 - rpe),1.22*a0,a1*y0 + rpe*(a0 + a1),1.03
37,1.0877826,a0*rpe*(a0**2*rpe + a0*y0),2*y0*(a1*rpe - rpe),a0,a1*y0 + rpe*(a0 + a1),1.03*y0 + 1.03
