Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,0.9558146,0.629,rpe,-0.0586,a0*rpe + a1,a0
13,0.78261834,y0,0,0.0399,rpe,2*rpe
17,0.7134708,a0*a1,rpe*(0.847*y0 - 0.928),0.107*a1 + 0.0115,a1,-0.326
19,0.68664354,a1 + rpe,a0*a1*y0 + 0.387*a0*rpe,0.108*a1,y0,0.517
21,0.682235,2*a1 + rpe,a0*a1*y0 + 0.387*a0*rpe,0.108*a1,0.879,-0.719
23,0.66923845,2*a1 + rpe,a0*a1*y0 + 0.15*a0*rpe,0.108*a1,0.879,rpe
25,0.66857636,2*a1 + rpe,a0*a1*y0 + 0.15*a0*rpe,0.108*a1,0.0107,1.89*rpe
27,0.6653197,2*a1 + rpe,a0*a1*y0 + 0.15*a0*rpe,0.108*a1,0.879,1.89*rpe - 0.719
31,0.640425,y0*(2*a1 + 0.629),a0**2 + rpe,-0.0586*a0*(a0*(rpe - 0.681) + rpe - 1.36),y0,a0 + rpe
35,0.63971686,y0*(2*a1 + 0.629),a0**2 + rpe,-0.0586*a0*(a0*(rpe - 0.681) + rpe - 1.36),a1*y0 + a1,2*a0
39,0.63823503,y0*(2*a1 + 0.629),2*a0**2 + rpe,-0.0586*a0*(a0*(rpe - 0.681) + rpe - 1.36),a1**2,2*a0 + rpe**2
41,0.625687,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(2*a0 + rpe) + rpe,-0.0586*a0*(-1.36*a0 + rpe - 1.36),a1**2,a0
45,0.62045866,y0*(a1*rpe*(a1 + 0.629) + 0.629),a0**2 + a0*(2*a0 + rpe) + rpe,-0.0586*a0*(-1.36*a0 + 2*rpe - 1.36),-1.85*a0,a0 + y0
47,0.6073314,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(a0*(a0*(a0 + rpe) + rpe) + rpe) + rpe,-0.0586*a0*(2*rpe - 2.72),a1,y0
49,0.6033659,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(a0*(a0*(a0 + rpe) + rpe) + rpe) + rpe,-0.0586*a0*(2*rpe - 2.72),a1**2,y0
51,0.60292923,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(a0*(a0*(a0 + rpe) + rpe) + rpe) + rpe,-0.0586*a0*(2*rpe - 2.72),2*a1**2,y0
53,0.6028657,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(a0*(a0*(a0 + rpe) + rpe) + rpe) + rpe,-0.0586*a0*(2*rpe - 2.72),2*a1**2,y0 - 0.719
61,0.60251623,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(a0*(a0*(a0 + rpe) + rpe) + rpe) + rpe,-0.0586*a0*(2*rpe - 2.72),a1*(-a1*(a0 + 2*a1) + 3*a1),y0
63,0.6023973,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(a0*(a0*(a0 + rpe) + rpe) + rpe) + rpe,-0.0586*a0*(2*rpe - 2.72),a1*(-a1*(a0 + 2*a1) + 3*a1),2*y0
69,0.6022301,y0*(rpe*(a1 + 0.629)*(2*a1 + 0.629) + 0.629),a0*(a0*(a0*(a0 + rpe) + rpe) + rpe) + rpe,-0.0586*a0*(2*rpe - 2.72),a1*(-a1*(a0 + 2*a1) + 2*a1),a0 + rpe*(a0 - 1.44) + y0
