Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.213813,rpe,y0,-0.129
7,1.0653018,a0**2 + y0,rpe,0.0119
9,0.9636885,-0.206*rpe*y0,a0,-0.129*a0
13,0.8704211,a1,a1*rpe - rpe*y0 + 0.106,-0.326*a1
15,0.587017,-0.306,-a1*rpe**2 - rpe*y0 + rpe,-0.889*a1
19,0.57477045,-0.932*a1*rpe*(a0 - 2*y0),-2.55,-a0 + a1 + 0.285
21,0.5121741,-2*a1**2*rpe*y0,-0.714,-a0 + a1 + 0.285
25,0.5115559,-0.306,-a1*rpe**2 + a1*rpe - rpe*y0,a1*(-0.444*a1 + rpe - 0.889)
27,0.48848212,-0.306*a1,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(rpe - 1.33)
29,0.4626243,0.272*a1**2,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(2*rpe - 2.22)
31,0.45567378,-0.306*a1,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(2*rpe - 1.78)
31,0.45567378,-0.306*a1,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(2*rpe - 1.78)
31,0.45567378,-0.306*a1,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(2*rpe - 1.78)
31,0.45567378,-0.306*a1,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(2*rpe - 1.78)
31,0.45567378,-0.306*a1,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(2*rpe - 1.78)
35,0.43786722,-1.71*a1**3,a0*rpe*y0 - a1*rpe**2 - rpe*y0,a1*(2*rpe - 1.78)
