Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,0.9711391,a0,y1,0.0535
5,0.96419156,rpe - 0.0166,y0,0.0297
5,0.96419156,rpe - 0.0166,y1,0.0297
9,0.93442553,2.08,y0 + 0.0352,0.0297*a1 + 0.0206
11,0.87220824,a1**2,-1.15*a1 - 1.15*y1 + 0.0887,a1
13,0.8045141,a0*a1 + y1,rpe,a0*(2*rpe - 0.231)
15,0.42851937,y1,y1*(2*rpe - 1.15),-1.01*a1*rpe + a1
19,0.39855605,a0,y1*(2*rpe - 1.15),-2.02*a1*rpe + a1
21,0.37805915,a0*(0.199 - 2.18*y1**2) + y1,a1,a0*(3*rpe - 1.22)
25,0.3434207,a0*(0.199 - 2.18*y1**2) + y1,y0,a0*(4*rpe - 1.95)
25,0.3434207,a0*(0.199 - 2.18*y1**2) + y1,a1,a0*(4*rpe - 1.95)
27,0.33016786,a0*(0.199 - 2.18*y1**2) + y1,-0.529,a0*(a1 + 5*rpe - 0.83)
29,0.32702345,a0*(-2.18*y1*(a0 + y1) + 0.199) + y1,y1,a0*(5*rpe - 1.69)
31,0.32661483,a0*(-2.18*a0*y1 - 2.18*y1**2 + 0.199) + y1,-1.79,a0*(5*rpe - 1.72)
31,0.32661483,a0*(-2.18*a0*y1 - 2.18*y1**2 + 0.199) + y1,-1.58,a0*(5*rpe - 1.72)
31,0.32661483,a0*(-2.18*a0*y1 - 2.18*y1**2 + 0.199) + y1,y0,a0*(5*rpe - 1.72)
31,0.32661483,a0*(-2.18*a0*y1 - 2.18*y1**2 + 0.199) + y1,y1,a0*(5*rpe - 1.72)
31,0.32661483,a0*(-2.18*a0*y1 - 2.18*y1**2 + 0.199) + y1,a1,a0*(5*rpe - 1.72)
31,0.32661483,a0*(-2.18*a0*y1 - 2.18*y1**2 + 0.199) + y1,rpe,a0*(5*rpe - 1.72)
33,0.32507402,a0*(-2.18*y1*(a0 + y1) + 0.199) + 2*y1,-0.815*y1,a0*(5*rpe - 1.78)
37,0.31682926,a0*(-2.18*y1*(y0 + y1) + 0.199) + y1,y0*(2*y0 + y1 - 1.66),a0*(5*rpe - 1.69)
37,0.31682926,a0*(-2.18*y1*(y0 + y1) + 0.199) + y1,y0*(a1 + 2*y0 - 1.66),a0*(5*rpe - 1.69)
