Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,4.6417418,rpe,-2.04,a1*rpe,a0*a1*y0,a1
13,2.0595279,y1,a0 + rpe,0.0719 - 0.0919*a0,y0,y1 - 0.479
15,1.8304679,a0*rpe,2*a1 - 2.4,a0**2,rpe*y1,a1
17,1.2655071,rpe*y1**3,rpe,a0*(a1*rpe + 1.17),0.0683,a1
19,1.1966351,y1*(rpe - 1.14),2.94,a0*(1.17 - 1.36*rpe),y0,0.571*a1
27,1.1790861,y1*(2*rpe - 1.14),-1.44,a0*(1.75*a1*rpe + 1.17),a1 + 0.0683,a1
29,1.0740268,y1*(2*rpe - 1.14),rpe*(rpe + y1),2*a0*(1.17 - 1.36*rpe),-1.95*y1,a0 - 0.505
31,1.0409554,y1*(2*rpe - 1.14),rpe*(rpe + y1),2*a0*(1.17 - 1.36*rpe),3.81 - 1.95*y1,a0 + rpe
33,1.0391809,y1*(2*rpe - 1.14),rpe*y1,2*a0*(1.17 - 1.36*rpe),-1.95*a1*y1 + 3.81,rpe*y1 + rpe
37,0.9253824,y1*(2*rpe - 1.14),-2.04*y0 + 2.04*y1 - 7.44,2*a0*(1.75*a1*rpe + 1.17),(y1 - 1.95)**2,a1 + y0
