Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,0.7842865,y1,0.443,0.0624
7,0.7732544,y1 + 0.5,rpe,-0.0444*a1
9,0.764651,-a0 + y1,y1,0.0692 - 0.0444*a0
11,0.64020854,-a0 + y1,a0,a0*(rpe - 0.721) + 0.0692
15,0.6235001,-a0 + y1,y0 + y1,a0*(rpe - 0.721) + 0.0815*a1
17,0.6189481,-a0 + y1,0.283*y0,a0*(rpe - 0.721) + 0.0815*a1
19,0.486449,-a0*rpe - a1 + y1,a1*(y0 + y1 - 0.084),a0*(rpe - 0.683)
25,0.44234717,a0**2*rpe - a0*rpe + y1,a1*y0*y1*(a0 - a1),a0*(rpe - 0.683)
25,0.44234717,a0**2*rpe - a0*rpe + y1,a1*y0*y1*(a0 - rpe),a0*(rpe - 0.683)
27,0.40480676,2.62,a0*y1*(a0 + rpe - 2.14),2*a0*a1*(a0 - 1.35)*(rpe - 1.35)
31,0.39846042,a0 + a1 + 3.53,a0*y1*(a0 + rpe - 2.14),a1*(a0 - 1.35)*(a0 + 0.0265)*(rpe - 1.35)
33,0.38222635,rpe*(a0 + rpe + 3.53) + 3.53,a0*y1*(a0 - a1 + rpe - 2.14),2*a0*a1*(a0 - 1.35)*(rpe - 1.35)
35,0.37677357,rpe*(rpe + y1 + 3.53) + 3.53,a0*y1*(a0 + rpe - 2.14),2*a0*a1*(a0 - 1.35)*(rpe - 1.35)
39,0.37653303,rpe*(a0 + rpe + y1 + 3.53) + 3.53,a0*y1*(a0 + rpe - 2.14),2*a0*a1*(a0 - 1.35)*(rpe - 0.895)
43,0.3688501,a0 + rpe*(a0*rpe + rpe + y1 + 3.53) + 3.53,a0*y1*(a0 + rpe - 2.14),2*a0*a1*(a0 - 1.35)*(rpe - 0.895)
