Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,17.302355,1.08,a0,a0
5,0.87095034,-0.00525*y0,y0,-0.00460
7,0.8192564,-0.987,y0,-0.0433*rpe
7,0.8192564,y0,y0,-0.0433*rpe
9,0.81560266,rpe,a0,-0.0131*a1 - 0.0263*rpe
11,0.8032392,-0.755*a0 + 0.245*y0,rpe,a0*rpe
13,0.56838316,y0,rpe*y0,-0.798*a1*(rpe - 0.453)
13,0.56838316,a0,rpe*y0,-0.798*a1*(rpe - 0.453)
15,0.5604255,rpe,rpe*y0,a0*a1*(rpe - 0.284)
17,0.516941,rpe,rpe*(a1 + y0),-0.374*a1*(rpe - 0.68)
19,0.47273844,rpe*(a0 - 2*y0) + rpe,rpe,a0*a1**2*(rpe - 0.439)
21,0.46031716,rpe,rpe*(a1 + 2*y0 - 0.707),a0*a1*(rpe - 0.402)
23,0.4598115,rpe,rpe*(a1 + 3*y0),a0*a1*(rpe - 0.51)
25,0.45094654,rpe*(2*a0 - 2*y0 - 0.987) + rpe,rpe,a0*a1*(a1 - 0.439)*(rpe - 0.439)
29,0.43831608,rpe,rpe*(2*a1 + 3*y0 - 0.194),a0*a1*(1.17*rpe - 0.492)
