Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,1.2557131,y0**2 + y0,-1.56,-1.92e-5,rpe,a0 - 0.554
13,1.2454605,y1 - 0.318,-a0 + a1,0.00460,rpe + 0.25,-0.57*y1
15,1.1995201,rpe*y1,-1.97*a0,-0.0348*rpe,y0*y1,a1 + y0
17,0.9647221,y0*(rpe + y1),a0*a1,-0.117*a0*(rpe - 0.963),-0.154,a1
19,0.96440685,y0*(rpe + y1),a0*a1,-0.117*a0*(rpe - 0.963),y0 + y1,a1
23,0.79666746,y0*y1**2 + y0*(rpe + y1),a0,-0.117*a0*(rpe - 1.93),y0,y1
25,0.77207315,4*rpe*y0,a1,-0.223*a0*(rpe - 1.38),y1,0.118*y0
27,0.6702487,a0*(2*rpe - y0) + y0*(a0 + rpe),rpe,-0.117*a0*(a1 + rpe - 1.93),a0,a0
29,0.65974945,a0*(3*rpe - y0) + y0*(a0 + rpe),rpe,-0.117*a0*(a1 + rpe - 1.93),a0,a0
31,0.64680576,a0*(3*rpe - y0) + y0*(a0 + rpe),rpe,-0.117*a0*(2*a1 + rpe - 0.963),a1,a0 + y1
35,0.6393552,a0*(3*rpe - y0) + y0*(a0 + rpe),rpe,-0.117*a0*(2*a1 + rpe - 0.963),a0 + y1 + 2.74,-0.538*y1
43,0.638141,rpe*(3*y0 + 2*y1 - 2.14),y1*(rpe*y1 + y0*y1),a0*(0.174*a0*(2*a0 + a1) - 0.174*rpe),y0 + 2*y1,rpe
53,0.63742226,a0*(2*rpe + 2*y1) + y0*(rpe + y1),3*rpe + y1,-0.117*a0*(a1 + 0.76*rpe - 1.93),a0,a0*a1*y1 - 2*a1*y1 + a1 - y0
57,0.6321248,a0*(2*rpe + 2*y1) + y0*(rpe + y1),4*rpe + y1,-0.117*a0*(a1 + 0.76*rpe - 1.93),a0**2,a0*a1 - y0**2*y1**2 - y0 - y1
61,0.6295739,a0*(2*rpe + 2*y1) + y0*(rpe + y1),4*rpe + y1,-0.117*a0*(a1 + 0.76*rpe - 1.93),a0*a1 + 2*a0,a0*a1 - a0*y0**2*y1 - y0 - y1
63,0.62882495,a0*(2*rpe + 2*y1) + y0*(rpe + y1),4*rpe + y1,-0.117*a0*(a1 + 0.76*rpe - 1.93),-0.154,a0*a1 - a0*y0*(a1 + y1) - y0 - y1
