Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,2.265224,rpe,a1,a1 + rpe
7,2.1841583,a1,a1,a1 + rpe - 0.441
9,1.8543053,y0,a0,a0*(a0 - rpe) - 0.574
13,1.6654588,y0,rpe*(a1 + y0),3*a1 + rpe
13,1.6654588,a1,rpe*(a1 + y0),3*a1 + rpe
15,1.6565568,rpe*(a0 + y0),a0,2.94*a0 + rpe
17,1.6262054,0.0212,rpe*(a1 + y0),3*a1 + 0.895*rpe
19,1.5967499,(a0 + y0)*(2*a0 + rpe),a0,4*a0 + rpe
19,1.5967499,(a0 + y0)*(2*a0 + rpe),rpe,4*a0 + rpe
21,1.5948417,(a0 + y0)*(2*a0 + rpe),a1,3.94*a0 + rpe
23,1.5341325,rpe*(-0.588*a0*rpe + y0),a0,4.22*a0 + a1 + rpe
25,1.3080423,(a0 + rpe)*(-0.588*a0*rpe + y0),a0,4.11*a0 + a1 + rpe
27,1.2965491,(a0 + rpe)*(-0.588*a0*rpe + y0),a0,a0**2 + 3.42*a0 + a1 + rpe
29,1.2636013,(2*a0 + rpe)*(-0.588*a0*rpe + y0),y0,a0**2 + 4.42*a0 + rpe
29,1.2636013,(2*a0 + rpe)*(-0.588*a0*rpe + y0),a1,a0**2 + 4.42*a0 + rpe
