Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.7250721,y0,rpe,a1*rpe
7,1.4265893,a1 - 1.01,-0.105,-0.313*rpe
9,1.2722294,a0,rpe*y0,a1*rpe + 0.167
11,1.1851985,0.177,rpe*(a1 + y0 + 0.396),a1*rpe
17,1.0774047,a0,-a1 + rpe*y0 + 0.0138,a1*rpe + a1 - 0.278*rpe
19,0.8239299,-3.17,-1.24*a1 + rpe*y0 + 0.0138,a1*rpe + 2*a1 + 0.167
19,0.8239299,-1.23,-1.24*a1 + rpe*y0 + 0.0138,a1*rpe + 2*a1 + 0.167
19,0.8239299,-0.536,-1.24*a1 + rpe*y0 + 0.0138,a1*rpe + 2*a1 + 0.167
19,0.8239299,a1,-1.24*a1 + rpe*y0 + 0.0138,a1*rpe + 2*a1 + 0.167
21,0.8230194,-8.31,-1.24*a1 + rpe*y0 + 0.0275,a1*rpe + 2*a1 + 0.167
21,0.8230194,-2.29,-1.24*a1 + rpe*y0 + 0.0275,a1*rpe + 2*a1 + 0.167
21,0.8230194,-2.03,-1.24*a1 + rpe*y0 + 0.0275,a1*rpe + 2*a1 + 0.167
29,0.8154502,a0*y0 + a1,-2*a1 + rpe*y0 + 0.0138,a1*(a0*(a1 - 0.603) + rpe) + a1 - 0.278*rpe
33,0.81360126,2*a1,-2*a1 + rpe*y0 + 0.0551,a1*(a0*(a1 - 0.603) + rpe) + a1 - 0.278*rpe
33,0.81360126,2*a1,-2*a1 + rpe*y0 + 0.0551,a1*(a0*(a1 - 0.603) + rpe) + a1 - 0.278*rpe
35,0.797644,a0*y0 + a1,-2*a1 + rpe*y0 + 0.0551,a1*(a0*(a1 - 0.603) + rpe) + a1 - 0.278*rpe
35,0.797644,a0*y0 + a1,-2*a1 + rpe*y0 + 0.0551,a1*(a0*(a1 - 0.603) + rpe) + a1 - 0.278*rpe
39,0.79702824,a0*y0 + 3*a1,-2*a1 + rpe*y0 + 0.0551,a1*(a0*(a1 - 0.603) + rpe) + a1 - 0.278*rpe
43,0.79045177,-0.173*a0 + 3*a1 - 0.158,-2*a1 + rpe*y0 + 0.0551,a1*(a0*(a1 - 0.603) + rpe) + a1 - 0.278*rpe
