Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
17,1.641391,-1.04*rpe*y0,a0 + y0,-2*a0 + rpe,a0*rpe,a1
19,1.2770274,y0*(a0 + rpe),rpe*y0,a1**2*(a0 + a1),a1,-0.494*y0
21,1.2762542,a1 - 0.769,rpe*y0,5*a1 + rpe,0.643*a1,y0
23,1.2292047,rpe*(-1.04*a1 - 1.04*y0),0.189,a0**2*rpe - 4*a0,rpe,0.753
29,1.2192869,y0*(a0 + rpe)*(a1 + 1.18),-0.722*a0*y0*(a0*y0 - rpe),a0*a1*rpe + a0,y0,a0
31,1.1135274,y0*(rpe - 1.54),2*rpe*(a0 + y0),a1*(a0 + a1)*(a0 + a1*(rpe + 1.58) + a1),a1,rpe
33,1.0645664,3.02*y0*(rpe - 0.769),rpe*y0**3 + y0,a1*(a0 + a1)*(2*a0 + a1*(rpe + 1.58)),a0,rpe
35,1.0615289,y0*(rpe - 0.769),rpe*y0**3 + 2*y0,a1*(a0 + a1)*(a0 + a1*(rpe + 1.58) + a1),a0 - a1,y0
37,1.0606446,y0*(rpe - 1.88),rpe*y0**3 + 2*y0,a1*(a0 + a1)*(a0 + a1*(rpe + 1.58) + a1),a0 - a1,y0
39,1.037173,3.02*y0*(rpe - 1.54),rpe*y0**3 + 2*y0,a1*(a0 + a1)*(2*a0 + a1*(rpe + 1.58)),a0,a0 + a1
41,1.031758,3.02*y0*(rpe - 1.54),a1 + rpe*y0**3 + 2*y0,a1*(a0 + a1)*(2*a0 + a1*(rpe + 1.58)),a1**2,a1
43,1.0310899,3.02*y0*(rpe - 1.54),a1 + rpe*y0**3 + 2*y0,a1*(a0 + a1)*(2*a0 + a1*(rpe + 1.58)),rpe,2*a1 + rpe
47,1.031024,3.02*y0*(rpe - 2.31) - 0.769,a1 + rpe*y0**3 + 2*y0,a1*(a0 + a1)*(2*a0 + a1*(rpe + 1.58)),a1*(a1 + y0),a1
49,1.0301979,3.02*y0*(rpe - 1.21),a1 + rpe*y0**3 + 2*y0,a1*(a0 + a1)*(2*a0 + a1*(rpe + 1.58)),a1,a1*y0 + 3*a1 + y0
51,1.0300233,3.02*y0*(rpe - 0.769),rpe*y0**2*(y0 - 0.675) + 2*y0 - 0.675,a1*(a0 + a1)*(2*a0 + a1*(rpe + 1.58)),y0,a0 + a1*y0 + a1 + rpe + 2*y0
