Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.9271171,a1,a1,0.0456
5,1.8240786,y1,a1*y0,-5.86e-5
9,1.7807033,0.346,0.257*y1,-0.012*rpe
11,1.5911328,-a0 + 1.25*y1,0,a0*rpe
13,1.5665216,-2.38,-0.635*a1 - 0.635*y1,2*a0*a1*rpe
15,1.55534,-0.763*a0 + 2*y1 + 0.113,-0.424,a0*rpe
15,1.55534,-0.763*a0 + 2*y1 + 0.113,0.0117,a0*rpe
17,1.46552,-0.763*a0 + 2*y1,y0,2*a0*rpe
17,1.46552,-0.763*a0 + 2*y1,y1,2*a0*rpe
19,1.4079759,-2.12*rpe*y0 + 4.51*y1,-1.84,a0*a1 + a0*(rpe - 0.963)
21,1.3975403,-2.12*rpe*y0 - 2.12*rpe*y1,rpe + y1 - 1.95,a0*(rpe - 0.963) - 0.0282
23,1.3069252,-2.12*rpe*y0 + 4.51*y1,rpe,0.0851*a0**2*rpe + a0*(rpe - 0.963)
25,1.2314236,-2.12*rpe*y0 + 4.51*y1,y0 + y1,a0*(rpe - 0.963) + 0.0851*a0 + 0.17*a1
27,1.1939766,-2.12*rpe*y0 + 4.51*y1,a0 + y0 + y1,a0*(rpe - 0.963) + 0.0851*a0 + 0.17*a1
33,1.183101,-2.12*rpe*y0 + 4.51*y1,rpe + 0.748*y0*(y0 + y1) - 1.95,0.0851*a0*(a1 - 0.963) + a0*(rpe - 0.963)
35,1.1558318,-0.625*rpe*y0 + 1.33*y1,a0*y0*y1**2 + rpe - 1.5,a0*(a1 + 2*rpe) + a0*(a1 + rpe - 0.963)
41,1.1352292,-0.625*a0 - 0.625*rpe*y0 - 0.625*rpe*y1,2*y0**2*y1**2 - 1.5*y1 - 1.5,a0*(2*a1 - 1.93) - 0.0205*rpe
45,1.0890074,-0.625*a0 - 1.25*rpe*y0 - 0.625*rpe*y1,2*y0**2*y1**2 + y1**2 - 1.5,a0*(a1 + 0.0851*rpe - 0.963) - 0.00126*rpe
