Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,11.829523,rpe,a1,a0
5,1.8116115,1.28,-0.137*a1,0.0340
9,1.8112729,0.432,0.0428*a0**2 + y0,0.0403
11,1.7504127,-0.0544,1.94*y0,0.0469*a1 + 0.025
13,1.6927772,rpe*y0 + y0,a0,-0.911*a0*(rpe - 0.911)
15,1.4584306,y0*(rpe - 0.0592),a0,(0.535 - 0.911*a0)*(rpe - 0.911)
17,1.3857899,a1*y0*(a0 + rpe) - y0,-0.449,a0*rpe - 0.42*a0
19,1.3161349,2*a1*rpe*y0 - y0,-0.817,a0*rpe - 0.42*a0 + 0.00405
21,1.3058861,2.57*a1*rpe*y0 - y0,-0.368,a0*rpe - 0.42*a0
23,1.239929,2.57*a1*rpe*y0 - y0,-0.448,a0*rpe - 0.42*a0 + 0.00149
25,1.2274232,a1*rpe*y0 + rpe*y0 + y0 + 0.348,a0**2,(0.535 - 0.911*a0)*(rpe - 0.911)
29,1.2044066,a1*rpe*y0 + rpe*y0 + y0 + 0.348,a0*(2*a0 - 1.18),(0.535 - 0.911*a0)*(rpe - 0.911)
