Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,2.7027647,y0,y0,2*rpe + 0.16,0.719,y0
11,2.3557084,a1 + rpe + 0.18,a0,rpe + 0.188,0.448,y1
13,1.9091122,rpe*y0,a0,a0,a1*y0 + y1,2*a0
17,1.5382526,rpe*y0,a1*y1,1.99*a0 - 0.483,y0 + y1,2*a0
21,1.5083851,1.44*a0 + 0.444,rpe*y0 - 0.754*rpe,2*a1,a1*y1,0.00346
23,1.4031937,a0,-0.754*a0*y1 + rpe*y0 - 0.754*y1,3*a1 - 0.794,a1*y1,0.00346
25,1.2985876,a0 + 0.444,rpe*y0 - 1.51*y1,3*a1 - 0.794,a1*(a1 - 0.71),rpe
29,1.2665297,2*a0 + 0.887,-0.754*a0*y1 + rpe*y0 - 0.754*y1,3*a1 - 0.794,a1*y1,0.00346
31,1.2658156,2*a0 + 0.887,-0.754*a0*y1 + rpe*y0 - 0.754*y1,3*a1 - 0.794,a1 + 2.0,-0.101*y1
37,1.2455643,2*a1*y1 + 2*rpe*y0,2*rpe - 0.153,-2*a0*(0.795*a0 + 0.795*a1) + 2*a0 - 0.483,rpe,y0
41,1.2404218,2*a1*y1 + 2*rpe*y0,a0 + a1 + rpe - 0.306,-1.59*a0*a1 + a0 - 0.483,a1,y0**2 + 1.64
43,1.2181703,2*a1*y1 + 2*rpe*y0,2*rpe - 0.153,-2*a0*(0.795*a0 + 0.795*a1) + 2*a0 - 0.483,a0,-rpe + y0 + 0.48
45,1.2132006,2*a1*y1 + 2*rpe*y0,2*rpe - 0.153,-2*a0*(0.795*a0 + 0.795*a1) + 2*a0 - 0.483,a0,-2*rpe + y0 + 0.48
53,1.20743,2*a1*y1 + 2*rpe*y0,a0 + a1 + rpe - 0.306,-2.38*a0*a1 + a0 - 0.483,a1,a1*y0 + rpe*(a1 - 0.48) - 0.0749
55,1.2010134,2*a1*y1 + 2*rpe*y0,a0 + a1 + rpe - 0.459,-2.38*a0*a1 + a0 - 0.483,a1 + rpe,rpe*(a1 - y0 - 0.25) + y0*y1 - 0.0749
