Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,3.967268,a1 + y1,a0*y1,-0.934*a0,-1.53,a1
15,1.1656847,a1,a1*rpe,-0.0183*a0,rpe,a1*y0**2
17,0.67239285,-0.496*rpe*y1 + y1,a0,1.43*a0*(rpe - 1.06),-0.952,-0.0826
19,0.4665776,0.482*rpe*y0 - y1,rpe,(0.802 - 0.146*rpe)*(a0 - 0.146),a0,a0
23,0.3823914,y0*(rpe - y0*y1) - y1,a0,a0 - 0.146,a0,2*a0*(a0 + rpe - 1.26)
27,0.37744313,y0*(rpe - y0*y1) - y1,y1 + 0.178,a0 - 0.146,rpe + 4.42,a0**2 + 2*a0
29,0.3611726,y0*(rpe - y0*y1) - y1,a0*a1 + 0.382,a0*(a1 + 0.802),1.78,a0*(a0**2 + a0 + rpe)
33,0.3584173,y0*(rpe - y0*y1) - y1,a0*a1 + a1*y0 + 0.382,(a0 - 0.292)*(a1 + 0.802),1.78,3*a0
39,0.35755193,y0*(rpe - y0*y1) - y1,a0*a1 + a1*y0 + 0.382,(a0 - 0.292)*(a1 + 0.802),1.78,a0**2*(a0 + 2*rpe - 0.631)
41,0.3484859,rpe*y0 + y1*(2*rpe - 1.37),rpe*y0*(rpe*y1 + 2*rpe + 0.14),0.406*a0*a1 - 0.406*a0*(rpe + 0.406) + a0,0.572,y0
43,0.34485483,rpe*y0 + y1*(2*rpe - 1.37),rpe*y0*(rpe*y1 + 2*rpe + 0.14),0.406*a0*a1 - 0.406*a0*(rpe + 0.406) + a0,a0 + 1.78,rpe
45,0.3445341,rpe*y0 + y1*(2*rpe - 1.37),rpe*y0*(rpe*y1 + 2*rpe + 0.14),0.406*a0*a1 - 0.406*a0*(rpe + 0.406) + a0,3*a1,y0
