Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,3.3020866,a1,a1,a0*rpe,y1**2,-0.739
13,2.2601833,y0,-0.225,a0*(a0 + a1 + rpe + 0.545),y1,-3.02
15,0.50719917,a1*rpe*y0 + y1,-0.450,a0*(a1 + rpe),y1,y0
17,0.46130952,a1*rpe*y0 + y1,-0.450,a0*(2*a1 + rpe),y1,a1
19,0.37199345,a1*rpe*y0 + y1,-0.225,a0*(2*a1 + rpe + 0.545),y0,y1
23,0.3593681,a1*rpe*y0 + y1,-0.225,a0*(2*a1 + rpe + 0.545),a1 + y0 - y1,a0
27,0.33753854,y0*(rpe - y1*(a0 + 2*y0)),a1,a0 + rpe*(-0.585*a0 - 0.305),y0,0.706
35,0.33378592,y0*(rpe - y1*(a0 + 2*y0)),0.975*a1*y1 + rpe + y1,a0 + rpe*(-0.39*a0 - 0.195*a1 - 0.305),a0,0.706
37,0.32819042,a1*rpe*y0 + a1*rpe*y1 + y1,-0.450,a0*(3*a1 + rpe + 1.09),a0 + 4*a1,a0
45,0.3216116,y0*(rpe - y1*(a1 + 2*y0)),-1.42*a1 + rpe + y1,a0 + rpe*(-0.39*a0 + 0.195*a1),rpe,-0.186*rpe**3*y0*y1
47,0.32030547,y0*(rpe - y1*(a1 + 2*y0)),-1.42*a1 + rpe + y1,a0 + rpe*(-0.39*a0 + 0.195*a1),0,-0.186*rpe**3*y0*y1
63,0.3197684,y0*(rpe - y1*(a0 + 2*y0)),a0*rpe - 0.225*a1 + rpe,a0 + rpe*(-0.39*a0 - 0.195*a1 - 0.305),a1*(2*a0 + a1*rpe*y0),0.48*rpe**2*(0.706*rpe + 0.499)
