Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,28.003107,y0,-0.811,a1
5,1.6420382,0.406*y0,a1,1.22e-5
7,1.6420344,a0,a0,0.0167*a1*rpe
7,1.6420344,a0,-1.64*a1,a0 + a1
7,1.6420344,a1*rpe,a1,a0*a1
7,1.6420344,-1.11*rpe,rpe,0
9,1.5713108,rpe - 0.236,a0,a1*rpe + rpe
11,1.4859722,a0,rpe*y0 + 0.331,-0.0337*a1*rpe
13,1.4090748,y0,-a1 + rpe,0.000819*rpe**3
15,1.3484118,a1,a0 + rpe*y0 + 0.343,-0.0337*a1*(rpe - 1.17)
17,1.345654,a1,rpe*y0 + 0.331,-0.0337*a1*(-a0*(a1 - 0.352) + rpe)
19,1.3271985,-a0*(a0 + y0) - 0.89*rpe*y0,a0,-0.0337*a0*(a1 + 3.13)
21,1.1897899,0.251,2*a1*rpe + rpe*(a1 + y0),-0.119*a1*(rpe - 1.1)
23,1.1426866,-a0*(a0 + y0) - 0.89*rpe*(y0 - 0.376),a0,-0.0337*a0*(a0 - rpe + 4.54)
25,1.1233943,-a0*(a0 + y0) - 0.89*rpe*(y0 - 0.89),a0,-0.0337*a0*(a0 + a1 - rpe + 6.13)
29,1.1033969,-a0*(a0 + y0) - 0.89*rpe*(2*y0 - 0.89),a0,-0.0337*a0*(a1 - 2*rpe + 4.17)
